Time,jack black
2023-12-22,9
2023-12-23,11
2023-12-24,11
2023-12-25,14
2023-12-26,11
2023-12-27,9
2023-12-28,16
2023-12-29,10
2023-12-30,9
2023-12-31,9
2024-01-01,11
2024-01-02,9
2024-01-03,13
2024-01-04,10
2024-01-05,9
2024-01-06,12
2024-01-07,12
2024-01-08,10
2024-01-09,11
2024-01-10,11
2024-01-11,10
2024-01-12,9
2024-01-13,12
2024-01-14,10
2024-01-15,9
2024-01-16,7
2024-01-17,7
2024-01-18,7
2024-01-19,10
2024-01-20,12
2024-01-21,12
2024-01-22,8
2024-01-23,7
2024-01-24,7
2024-01-25,8
2024-01-26,8
2024-01-27,10
2024-01-28,10
2024-01-29,7
2024-01-30,7
2024-01-31,7
2024-02-01,7
2024-02-02,8
2024-02-03,9
2024-02-04,10
2024-02-05,7
2024-02-06,7
2024-02-07,6
2024-02-08,7
2024-02-09,8
2024-02-10,9
2024-02-11,11
2024-02-12,8
2024-02-13,7
2024-02-14,8
2024-02-15,8
2024-02-16,8
2024-02-17,10
2024-02-18,10
2024-02-19,8
2024-02-20,9
2024-02-21,9
2024-02-22,8
2024-02-23,8
2024-02-24,10
2024-02-25,10
2024-02-26,8
2024-02-27,8
2024-02-28,8
2024-02-29,9
2024-03-01,13
2024-03-02,15
2024-03-03,13
2024-03-04,11
2024-03-05,13
2024-03-06,13
2024-03-07,11
2024-03-08,17
2024-03-09,20
2024-03-10,19
2024-03-11,13
2024-03-12,12
2024-03-13,11
2024-03-14,11
2024-03-15,10
2024-03-16,14
2024-03-17,14
2024-03-18,9
2024-03-19,9
2024-03-20,9
2024-03-21,8
2024-03-22,9
2024-03-23,12
2024-03-24,13
2024-03-25,9
2024-03-26,8
2024-03-27,10
2024-03-28,8
2024-03-29,10
2024-03-30,14
2024-03-31,16
2024-04-01,11
2024-04-02,8
2024-04-03,8
2024-04-04,8
2024-04-05,9
2024-04-06,9
2024-04-07,9
2024-04-08,7
2024-04-09,8
2024-04-10,8
2024-04-11,8
2024-04-12,9
2024-04-13,10
2024-04-14,9
2024-04-15,7
2024-04-16,8
2024-04-17,7
2024-04-18,8
2024-04-19,8
2024-04-20,9
2024-04-21,10
2024-04-22,8
2024-04-23,8
2024-04-24,7
2024-04-25,8
2024-04-26,7
2024-04-27,9
2024-04-28,10
2024-04-29,7
2024-04-30,7
2024-05-01,7
2024-05-02,8
2024-05-03,8
2024-05-04,9
2024-05-05,9
2024-05-06,8
2024-05-07,7
2024-05-08,7
2024-05-09,7
2024-05-10,8
2024-05-11,10
2024-05-12,9
2024-05-13,8
2024-05-14,7
2024-05-15,7
2024-05-16,7
2024-05-17,9
2024-05-18,9
2024-05-19,9
2024-05-20,8
2024-05-21,7
2024-05-22,7
2024-05-23,8
2024-05-24,8
2024-05-25,9
2024-05-26,9
2024-05-27,9
2024-05-28,7
2024-05-29,7
2024-05-30,7
2024-05-31,7
2024-06-01,7
2024-06-02,9
2024-06-03,7
2024-06-04,6
2024-06-05,6
2024-06-06,7
2024-06-07,7
2024-06-08,8
2024-06-09,9
2024-06-10,7
2024-06-11,7
2024-06-12,7
2024-06-13,7
2024-06-14,7
2024-06-15,9
2024-06-16,9
2024-06-17,13
2024-06-18,15
2024-06-19,10
2024-06-20,7
2024-06-21,9
2024-06-22,10
2024-06-23,9
2024-06-24,7
2024-06-25,7
2024-06-26,7
2024-06-27,7
2024-06-28,6
2024-06-29,8
2024-06-30,9
2024-07-01,7
2024-07-02,6
2024-07-03,6
2024-07-04,9
2024-07-05,8
2024-07-06,9
2024-07-07,9
2024-07-08,7
2024-07-09,7
2024-07-10,6
2024-07-11,6
2024-07-12,7
2024-07-13,8
2024-07-14,7
2024-07-15,19
2024-07-16,100
2024-07-17,62
2024-07-18,29
2024-07-19,21
2024-07-20,18
2024-07-21,14
2024-07-22,11
2024-07-23,9
2024-07-24,9
2024-07-25,10
2024-07-26,10
2024-07-27,10
2024-07-28,9
2024-07-29,7
2024-07-30,8
2024-07-31,7
2024-08-01,7
2024-08-02,7
2024-08-03,8
2024-08-04,8
2024-08-05,10
2024-08-06,9
2024-08-07,9
2024-08-08,9
2024-08-09,9
2024-08-10,10
2024-08-11,10
2024-08-12,9
2024-08-13,7
2024-08-14,7
2024-08-15,7
2024-08-16,8
2024-08-17,9
2024-08-18,8
2024-08-19,7
2024-08-20,7
2024-08-21,12
2024-08-22,9
2024-08-23,9
2024-08-24,10
2024-08-25,10
2024-08-26,8
2024-08-27,7
2024-08-28,8
2024-08-29,8
2024-08-30,7
2024-08-31,8
2024-09-01,9
2024-09-02,8
2024-09-03,7
2024-09-04,12
2024-09-05,16
2024-09-06,13
2024-09-07,14
2024-09-08,14
2024-09-09,10
2024-09-10,10
2024-09-11,9
2024-09-12,9
2024-09-13,9
2024-09-14,10
2024-09-15,9
2024-09-16,8
