Time,last_of_us
2022-01-01,25.0
2022-01-02,28.0
2022-01-03,23.0
2022-01-04,26.0
2022-01-05,25.0
2022-01-06,21.0
2022-01-07,24.0
2022-01-08,29.0
2022-01-09,27.0
2022-01-10,22.0
2022-01-11,22.0
2022-01-12,23.0
2022-01-13,26.0
2022-01-14,21.0
2022-01-15,31.0
2022-01-16,24.0
2022-01-17,21.0
2022-01-18,21.0
2022-01-19,20.0
2022-01-20,21.0
2022-01-21,20.0
2022-01-22,23.0
2022-01-23,24.0
2022-01-24,26.0
2022-01-25,18.0
2022-01-26,19.0
2022-01-27,19.0
2022-01-28,21.0
2022-01-29,25.0
2022-01-30,24.0
2022-01-31,21.0
2022-02-01,20.0
2022-02-02,20.0
2022-02-03,19.0
2022-02-04,21.0
2022-02-05,24.0
2022-02-06,23.0
2022-02-07,21.0
2022-02-08,20.0
2022-02-09,19.0
2022-02-10,15.0
2022-02-11,21.0
2022-02-12,25.0
2022-02-13,22.0
2022-02-14,18.0
2022-02-15,19.0
2022-02-16,19.0
2022-02-17,21.0
2022-02-18,22.0
2022-02-19,24.0
2022-02-20,23.0
2022-02-21,21.0
2022-02-22,20.0
2022-02-23,20.0
2022-02-24,22.0
2022-02-25,18.0
2022-02-26,20.0
2022-02-27,21.0
2022-02-28,19.0
2022-03-01,17.0
2022-03-02,16.0
2022-03-03,18.0
2022-03-04,19.0
2022-03-05,20.0
2022-03-06,21.0
2022-03-07,20.0
2022-03-08,18.0
2022-03-09,20.0
2022-03-10,19.0
2022-03-11,17.0
2022-03-12,19.0
2022-03-13,22.0
2022-03-14,20.0
2022-03-15,17.0
2022-03-16,18.0
2022-03-17,18.0
2022-03-18,16.0
2022-03-19,18.0
2022-03-20,20.0
2022-03-21,17.0
2022-03-22,17.0
2022-03-23,19.0
2022-03-24,21.0
2022-03-25,18.0
2022-03-26,19.0
2022-03-27,20.0
2022-03-28,19.0
2022-03-29,19.0
2022-03-30,19.0
2022-03-31,18.0
2022-04-01,19.0
2022-04-02,18.0
2022-04-03,21.0
2022-04-04,20.0
2022-04-05,18.0
2022-04-06,20.0
2022-04-07,19.0
2022-04-08,20.0
2022-04-09,19.0
2022-04-10,20.0
2022-04-11,20.0
2022-04-12,20.0
2022-04-13,21.0
2022-04-14,20.0
2022-04-15,21.0
2022-04-16,20.0
2022-04-17,22.0
2022-04-18,23.0
2022-04-19,20.0
2022-04-20,23.0
2022-04-21,22.0
2022-04-22,19.0
2022-04-23,21.0
2022-04-24,21.0
2022-04-25,21.0
2022-04-26,22.0
2022-04-27,21.0
2022-04-28,19.0
2022-04-29,19.0
2022-04-30,20.0
2022-05-01,21.0
2022-05-02,20.0
2022-05-03,19.0
2022-05-04,21.0
2022-05-05,19.0
2022-05-06,21.0
2022-05-07,22.0
2022-05-08,22.0
2022-05-09,22.0
2022-05-10,21.0
2022-05-11,25.0
2022-05-12,23.0
2022-05-13,20.0
2022-05-14,21.0
2022-05-15,22.0
2022-05-16,20.0
2022-05-17,22.0
2022-05-18,32.0
2022-05-19,30.0
2022-05-20,24.0
2022-05-21,23.0
2022-05-22,25.0
2022-05-23,23.0
2022-05-24,22.0
2022-05-25,30.0
2022-05-26,24.0
2022-05-27,22.0
2022-05-28,20.0
2022-05-29,24.0
2022-05-30,24.0
2022-05-31,19.0
2022-06-01,18.0
2022-06-02,21.0
2022-06-03,20.0
2022-06-04,21.0
2022-06-05,21.0
2022-06-06,20.0
2022-06-07,20.0
2022-06-08,22.0
2022-06-09,84.0
2022-06-10,76.0
2022-06-11,48.0
2022-06-12,40.0
2022-06-13,31.0
2022-06-14,28.0
2022-06-15,33.0
2022-06-16,28.0
2022-06-17,29.0
2022-06-18,27.0
2022-06-19,28.0
2022-06-20,24.0
2022-06-21,24.0
2022-06-22,20.0
2022-06-23,23.0
2022-06-24,22.0
2022-06-25,24.0
2022-06-26,23.0
2022-06-27,21.0
2022-06-28,21.0
2022-06-29,20.0
2022-06-30,19.0
2022-07-01,17.0
2022-07-02,21.0
2022-07-03,20.0
2022-07-04,23.0
2022-07-05,20.0
2022-07-06,20.0
2022-07-07,20.0
2022-07-08,17.0
2022-07-09,21.0
2022-07-10,25.0
2022-07-11,23.0
2022-07-12,20.0
2022-07-13,21.0
2022-07-14,20.0
2022-07-15,20.0
2022-07-16,23.0
2022-07-17,24.0
2022-07-18,21.0
2022-07-19,19.0
2022-07-20,21.0
2022-07-21,23.0
2022-07-22,30.0
2022-07-23,26.0
2022-07-24,26.0
2022-07-25,22.0
2022-07-26,22.0
2022-07-27,19.0
2022-07-28,18.0
2022-07-29,20.0
2022-07-30,21.0
2022-07-31,23.0
2022-08-01,22.0
2022-08-02,19.0
2022-08-03,19.0
2022-08-04,19.0
2022-08-05,18.0
2022-08-06,22.0
2022-08-07,25.0
2022-08-08,21.0
2022-08-09,19.0
2022-08-10,18.0
2022-08-11,20.0
2022-08-12,20.0
2022-08-13,21.0
2022-08-14,22.0
2022-08-15,19.0
2022-08-16,19.0
2022-08-17,21.0
2022-08-18,19.0
2022-08-19,19.0
2022-08-20,23.0
2022-08-21,26.0
2022-08-22,89.0
2022-08-23,57.0
2022-08-24,35.0
2022-08-25,41.0
2022-08-26,35.0
2022-08-27,38.0
2022-08-28,36.0
2022-08-29,30.0
2022-08-30,30.5
2022-08-31,57.0
2022-09-01,57.0
2022-09-02,73.25
2022-09-03,75.75
2022-09-04,75.25
2022-09-05,72.25
2022-09-06,55.0
2022-09-07,43.25
2022-09-08,41.25
2022-09-09,40.75
2022-09-10,44.75
2022-09-11,45.75
2022-09-12,41.25
2022-09-13,31.5
2022-09-14,30.0
2022-09-15,29.5
2022-09-16,29.0
2022-09-17,32.0
2022-09-18,40.25
2022-09-19,28.5
2022-09-20,27.5
2022-09-21,29.0
2022-09-22,26.5
2022-09-23,26.5
2022-09-24,30.0
2022-09-25,30.5
2022-09-26,100.75
2022-09-27,90.0
2022-09-28,58.0
2022-09-29,43.5
2022-09-30,29.0
2022-10-01,29.0
2022-10-02,43.5
2022-10-03,58.0
2022-10-04,43.5
2022-10-05,29.0
2022-10-06,29.0
2022-10-07,29.0
2022-10-08,29.0
2022-10-09,29.0
2022-10-10,29.0
2022-10-11,29.0
2022-10-12,29.0
2022-10-13,29.0
2022-10-14,29.0
2022-10-15,29.0
2022-10-16,29.0
2022-10-17,29.0
2022-10-18,29.0
2022-10-19,29.0
2022-10-20,29.0
2022-10-21,29.0
2022-10-22,29.0
2022-10-23,29.0
2022-10-24,29.0
2022-10-25,29.0
2022-10-26,29.0
2022-10-27,14.5
2022-10-28,14.5
2022-10-29,29.0
2022-10-30,29.0
2022-10-31,29.0
2022-11-01,29.0
2022-11-02,29.0
2022-11-03,29.0
2022-11-04,29.0
2022-11-05,29.0
2022-11-06,29.0
2022-11-07,29.0
2022-11-08,29.0
2022-11-09,14.5
2022-11-10,14.5
2022-11-11,14.5
2022-11-12,29.0
2022-11-13,29.0
2022-11-14,29.0
2022-11-15,29.0
2022-11-16,29.0
2022-11-17,29.0
2022-11-18,29.0
2022-11-19,29.0
2022-11-20,29.0
2022-11-21,29.0
2022-11-22,29.0
2022-11-23,29.0
2022-11-24,29.0
2022-11-25,29.0
2022-11-26,29.0
2022-11-27,29.0
2022-11-28,29.0
2022-11-29,29.0
2022-11-30,43.5
2022-12-01,29.0
2022-12-02,29.0
2022-12-03,58.0
2022-12-04,101.5
2022-12-05,72.5
2022-12-06,58.0
2022-12-07,43.5
2022-12-08,43.5
2022-12-09,43.5
2022-12-10,43.5
2022-12-11,43.5
2022-12-12,29.0
2022-12-13,29.0
2022-12-14,43.5
2022-12-15,29.0
2022-12-16,29.0
2022-12-17,43.5
2022-12-18,43.5
2022-12-19,43.5
2022-12-20,43.5
2022-12-21,43.5
2022-12-22,43.5
2022-12-23,43.5
2022-12-24,58.0
2022-12-25,72.5
2022-12-26,72.5
2022-12-27,72.5
2022-12-28,72.5
2022-12-29,58.0
2022-12-30,58.0
2022-12-31,72.5
2023-01-01,87.0
2023-01-02,87.0
2023-01-03,72.5
2023-01-04,87.0
2023-01-05,87.0
2023-01-06,87.0
2023-01-07,101.5
2023-01-08,116.0
2023-01-09,87.0
2023-01-10,203.0
2023-01-11,188.5
2023-01-12,130.5
2023-01-13,174.0
2023-01-14,232.0
2023-01-15,435.0
2023-01-16,1450.0
2023-01-17,913.5
2023-01-18,681.5
2023-01-19,507.5
2023-01-20,464.0
2023-01-21,565.5
2023-01-22,754.0
2023-01-23,1073.0
2023-01-24,594.5
2023-01-25,464.0
2023-01-26,362.5
2023-01-27,348.0
2023-01-28,435.0
2023-01-29,565.5
2023-01-30,1348.5
2023-01-31,928.0
2023-02-01,638.0
2023-02-02,507.5
2023-02-03,449.5
2023-02-04,565.5
2023-02-05,739.5
2023-02-06,1015.0
2023-02-07,565.5
2023-02-08,362.5
2023-02-09,333.5
2023-02-10,362.5
2023-02-11,957.0
2023-02-12,768.5
2023-02-13,478.5
2023-02-14,435.0
2023-02-15,348.0
2023-02-16,319.0
2023-02-17,319.0
2023-02-18,420.5
2023-02-19,536.5
2023-02-20,1276.0
2023-02-21,681.5
2023-02-22,449.5
2023-02-23,348.0
2023-02-24,304.5
2023-02-25,377.0
2023-02-26,522.0
2023-02-27,913.5
2023-02-28,435.0
2023-03-01,290.0
2023-03-02,246.5
2023-03-03,232.0
2023-03-04,304.5
2023-03-05,391.5
2023-03-06,870.0
2023-03-07,478.5
2023-03-08,362.5
2023-03-09,290.0
2023-03-10,275.5
2023-03-11,319.0
2023-03-12,551.0
2023-03-13,1305.0
2023-03-14,681.5
2023-03-15,435.0
2023-03-16,333.5
2023-03-17,304.5
2023-03-18,333.5
2023-03-19,377.0
2023-03-20,348.0
2023-03-21,246.5
2023-03-22,217.5
2023-03-23,203.0
2023-03-24,188.5
2023-03-25,203.0
2023-03-26,217.5
2023-03-27,174.0
2023-03-28,188.5
2023-03-29,174.0
2023-03-30,130.5
2023-03-31,130.5
2023-04-01,159.5
2023-04-02,174.0
2023-04-03,116.0
2023-04-04,101.5
2023-04-05,101.5
2023-04-06,101.5
2023-04-07,101.5
2023-04-08,116.0
2023-04-09,130.5
2023-04-10,101.5
2023-04-11,87.0
