Time,dow_jones
2022-01-01,7.0
2022-01-02,3.0
2022-01-03,36.0
2022-01-04,48.0
2022-01-05,47.0
2022-01-06,41.0
2022-01-07,42.0
2022-01-08,8.0
2022-01-09,3.0
2022-01-10,40.0
2022-01-11,38.0
2022-01-12,39.0
2022-01-13,40.0
2022-01-14,34.0
2022-01-15,7.0
2022-01-16,3.0
2022-01-17,14.0
2022-01-18,39.0
2022-01-19,43.0
2022-01-20,45.0
2022-01-21,50.0
2022-01-22,12.0
2022-01-23,5.0
2022-01-24,100.0
2022-01-25,63.0
2022-01-26,54.0
2022-01-27,57.0
2022-01-28,58.0
2022-01-29,11.0
2022-01-30,4.0
2022-01-31,50.0
2022-02-01,51.0
2022-02-02,48.0
2022-02-03,50.0
2022-02-04,55.0
2022-02-05,11.0
2022-02-06,4.0
2022-02-07,44.0
2022-02-08,42.0
2022-02-09,39.0
2022-02-10,43.0
2022-02-11,51.0
2022-02-12,11.0
2022-02-13,4.0
2022-02-14,43.0
2022-02-15,49.0
2022-02-16,45.0
2022-02-17,49.0
2022-02-18,49.0
2022-02-19,10.0
2022-02-20,4.0
2022-02-21,24.0
2022-02-22,63.0
2022-02-23,60.0
2022-02-24,99.0
2022-02-25,72.0
2022-02-26,12.0
2022-02-27,6.0
2022-02-28,64.0
2022-03-01,62.0
2022-03-02,58.0
2022-03-03,57.0
2022-03-04,55.0
2022-03-05,13.0
2022-03-06,5.0
2022-03-07,60.0
2022-03-08,72.0
2022-03-09,63.0
2022-03-10,60.0
2022-03-11,56.0
2022-03-12,11.0
2022-03-13,5.0
2022-03-14,54.0
2022-03-15,58.0
2022-03-16,60.0
2022-03-17,55.0
2022-03-18,53.0
2022-03-19,10.0
2022-03-20,5.0
2022-03-21,49.0
2022-03-22,48.0
2022-03-23,46.0
2022-03-24,46.0
2022-03-25,47.0
2022-03-26,8.0
2022-03-27,4.0
2022-03-28,38.0
2022-03-29,44.0
2022-03-30,46.0
2022-03-31,41.0
2022-04-01,43.0
2022-04-02,8.0
2022-04-03,4.0
2022-04-04,37.0
2022-04-05,39.0
2022-04-06,44.0
2022-04-07,41.0
2022-04-08,39.0
2022-04-09,8.0
2022-04-10,4.0
2022-04-11,39.0
2022-04-12,44.0
2022-04-13,45.0
2022-04-14,39.0
2022-04-15,26.0
2022-04-16,6.0
2022-04-17,3.0
2022-04-18,35.0
2022-04-19,37.0
2022-04-20,40.0
2022-04-21,39.0
2022-04-22,46.0
2022-04-23,11.0
2022-04-24,5.0
2022-04-25,53.0
2022-04-26,51.0
2022-04-27,51.0
2022-04-28,47.0
2022-04-29,49.0
