Time,robert_blake
2022-01-01,26.0
2022-01-02,18.0
2022-01-03,13.0
2022-01-04,10.0
2022-01-05,33.0
2022-01-06,12.0
2022-01-07,9.0
2022-01-08,11.0
2022-01-09,17.0
2022-01-10,16.0
2022-01-11,12.0
2022-01-12,14.0
2022-01-13,16.0
2022-01-14,34.0
2022-01-15,16.0
2022-01-16,14.0
2022-01-17,16.0
2022-01-18,18.0
2022-01-19,14.0
2022-01-20,8.0
2022-01-21,14.0
2022-01-22,100.0
2022-01-23,12.0
2022-01-24,10.0
2022-01-25,18.0
2022-01-26,13.0
2022-01-27,18.0
2022-01-28,11.0
2022-01-29,10.0
2022-01-30,13.0
2022-01-31,14.0
2022-02-01,11.0
2022-02-02,10.0
2022-02-03,7.0
2022-02-04,12.0
2022-02-05,17.0
2022-02-06,21.0
2022-02-07,13.0
2022-02-08,10.0
2022-02-09,10.0
2022-02-10,11.0
2022-02-11,15.0
2022-02-12,11.0
2022-02-13,13.0
2022-02-14,11.0
2022-02-15,81.0
2022-02-16,13.0
2022-02-17,14.0
2022-02-18,12.0
2022-02-19,15.0
2022-02-20,17.0
2022-02-21,7.0
2022-02-22,14.0
2022-02-23,44.0
2022-02-24,11.0
2022-02-25,24.0
2022-02-26,12.0
2022-02-27,10.0
2022-02-28,10.0
2022-03-01,14.0
2022-03-02,10.0
2022-03-03,8.0
2022-03-04,7.0
2022-03-05,12.0
2022-03-06,15.0
2022-03-07,16.0
2022-03-08,15.0
2022-03-09,22.0
2022-03-10,10.0
2022-03-11,14.0
2022-03-12,9.0
2022-03-13,13.0
2022-03-14,12.0
2022-03-15,11.0
2022-03-16,14.0
2022-03-17,13.0
2022-03-18,8.0
2022-03-19,11.0
2022-03-20,12.0
2022-03-21,11.0
2022-03-22,13.0
2022-03-23,12.0
2022-03-24,8.0
2022-03-25,12.0
2022-03-26,14.0
2022-03-27,13.0
2022-03-28,10.0
2022-03-29,11.0
2022-03-30,14.0
2022-03-31,15.0
2022-04-01,10.0
2022-04-02,15.0
2022-04-03,14.0
2022-04-04,9.0
2022-04-05,13.0
2022-04-06,14.0
2022-04-07,13.0
2022-04-08,11.0
2022-04-09,20.0
2022-04-10,8.0
2022-04-11,13.0
2022-04-12,15.0
2022-04-13,15.0
2022-04-14,74.0
2022-04-15,49.0
2022-04-16,37.0
2022-04-17,33.0
2022-04-18,36.0
2022-04-19,25.0
2022-04-20,19.0
2022-04-21,22.0
2022-04-22,18.0
2022-04-23,17.0
2022-04-24,21.0
2022-04-25,22.0
2022-04-26,20.0
2022-04-27,14.0
2022-04-28,10.0
2022-04-29,16.0
2022-04-30,52.0
2022-05-01,14.0
2022-05-02,10.0
2022-05-03,19.0
2022-05-04,13.0
2022-05-05,12.0
2022-05-06,11.0
2022-05-07,20.0
2022-05-08,10.0
2022-05-09,9.0
2022-05-10,12.0
2022-05-11,13.0
2022-05-12,13.0
2022-05-13,12.0
2022-05-14,9.0
2022-05-15,14.0
2022-05-16,11.0
2022-05-17,13.0
2022-05-18,16.0
2022-05-19,16.0
2022-05-20,10.0
2022-05-21,10.0
2022-05-22,9.0
2022-05-23,16.0
2022-05-24,11.0
2022-05-25,8.0
2022-05-26,10.0
2022-05-27,13.0
2022-05-28,11.0
2022-05-29,10.0
2022-05-30,15.0
2022-05-31,17.0
2022-06-01,4.0
2022-06-02,9.0
2022-06-03,13.0
2022-06-04,11.0
2022-06-05,70.0
2022-06-06,15.0
2022-06-07,23.0
2022-06-08,18.0
2022-06-09,9.0
2022-06-10,11.0
2022-06-11,12.0
2022-06-12,10.0
2022-06-13,13.0
2022-06-14,17.0
2022-06-15,16.0
2022-06-16,9.0
2022-06-17,12.0
2022-06-18,15.0
2022-06-19,14.0
2022-06-20,22.0
2022-06-21,34.0
2022-06-22,29.0
2022-06-23,26.0
2022-06-24,22.0
2022-06-25,21.0
2022-06-26,24.0
2022-06-27,31.0
2022-06-28,29.0
2022-06-29,28.0
2022-06-30,30.0
2022-07-01,28.0
2022-07-02,33.0
2022-07-03,32.0
2022-07-04,71.0
2022-07-05,29.0
2022-07-06,33.0
2022-07-07,33.0
2022-07-08,23.0
2022-07-09,47.0
2022-07-10,32.0
2022-07-11,79.0
2022-07-12,28.0
2022-07-13,24.0
2022-07-14,24.0
2022-07-15,29.0
2022-07-16,31.0
2022-07-17,24.0
2022-07-18,25.0
2022-07-19,24.0
2022-07-20,22.0
2022-07-21,19.0
2022-07-22,26.0
2022-07-23,24.0
2022-07-24,21.0
2022-07-25,21.0
2022-07-26,18.0
2022-07-27,24.0
2022-07-28,19.0
2022-07-29,19.0
2022-07-30,19.0
2022-07-31,24.0
2022-08-01,15.0
2022-08-02,22.0
2022-08-03,19.0
2022-08-04,14.0
2022-08-05,17.0
2022-08-06,16.0
2022-08-07,13.0
2022-08-08,19.0
2022-08-09,49.0
2022-08-10,12.0
2022-08-11,14.0
2022-08-12,12.0
2022-08-13,17.0
2022-08-14,17.0
2022-08-15,13.0
2022-08-16,12.0
2022-08-17,11.0
2022-08-18,14.0
2022-08-19,10.0
2022-08-20,12.0
2022-08-21,12.0
2022-08-22,13.0
2022-08-23,21.0
2022-08-24,14.0
2022-08-25,15.0
2022-08-26,14.0
2022-08-27,17.0
2022-08-28,19.0
2022-08-29,7.5
2022-08-30,7.0
2022-08-31,7.0
2022-09-01,7.0
2022-09-02,6.5
2022-09-03,15.0
2022-09-04,7.5
2022-09-05,5.5
2022-09-06,6.0
2022-09-07,5.5
2022-09-08,5.5
2022-09-09,8.0
2022-09-10,5.5
2022-09-11,5.0
2022-09-12,9.5
2022-09-13,7.5
2022-09-14,6.5
2022-09-15,5.0
2022-09-16,4.5
2022-09-17,14.0
2022-09-18,13.5
2022-09-19,9.5
2022-09-20,7.5
2022-09-21,7.0
2022-09-22,8.0
2022-09-23,6.5
2022-09-24,6.0
2022-09-25,10.0
2022-09-26,5.5
2022-09-27,7.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
