Time,jay_north
2022-01-01,0.0
2022-01-02,14.0
2022-01-03,17.0
2022-01-04,40.0
2022-01-05,25.0
2022-01-06,21.0
2022-01-07,17.0
2022-01-08,17.0
2022-01-09,25.0
2022-01-10,20.0
2022-01-11,13.0
2022-01-12,27.0
2022-01-13,17.0
2022-01-14,16.0
2022-01-15,15.0
2022-01-16,17.0
2022-01-17,17.0
2022-01-18,12.0
2022-01-19,16.0
2022-01-20,23.0
2022-01-21,17.0
2022-01-22,13.0
2022-01-23,20.0
2022-01-24,21.0
2022-01-25,16.0
2022-01-26,19.0
2022-01-27,20.0
2022-01-28,17.0
2022-01-29,16.0
2022-01-30,18.0
2022-01-31,19.0
2022-02-01,14.0
2022-02-02,17.0
2022-02-03,12.0
2022-02-04,16.0
2022-02-05,0.0
2022-02-06,24.0
2022-02-07,18.0
2022-02-08,23.0
2022-02-09,16.0
2022-02-10,13.0
2022-02-11,17.0
2022-02-12,16.0
2022-02-13,23.0
2022-02-14,21.0
2022-02-15,28.0
2022-02-16,16.0
2022-02-17,17.0
2022-02-18,21.0
2022-02-19,20.0
2022-02-20,20.0
2022-02-21,20.0
2022-02-22,23.0
2022-02-23,17.0
2022-02-24,14.0
2022-02-25,16.0
2022-02-26,22.0
2022-02-27,16.0
2022-02-28,18.0
2022-03-01,18.0
2022-03-02,13.0
2022-03-03,19.0
2022-03-04,17.0
2022-03-05,18.0
2022-03-06,36.0
2022-03-07,19.0
2022-03-08,22.0
2022-03-09,22.0
2022-03-10,22.0
2022-03-11,12.0
2022-03-12,11.0
2022-03-13,16.0
2022-03-14,16.0
2022-03-15,15.0
2022-03-16,19.0
2022-03-17,17.0
2022-03-18,13.0
2022-03-19,17.0
2022-03-20,23.0
2022-03-21,10.0
2022-03-22,13.0
2022-03-23,16.0
2022-03-24,15.0
2022-03-25,15.0
2022-03-26,20.0
2022-03-27,20.0
2022-03-28,24.0
2022-03-29,18.0
2022-03-30,23.0
2022-03-31,29.0
2022-04-01,24.0
2022-04-02,19.0
2022-04-03,26.0
2022-04-04,17.0
2022-04-05,29.0
2022-04-06,17.0
2022-04-07,14.0
2022-04-08,14.0
2022-04-09,21.0
2022-04-10,19.0
2022-04-11,19.0
2022-04-12,21.0
2022-04-13,18.0
2022-04-14,16.0
2022-04-15,26.0
2022-04-16,22.0
2022-04-17,18.0
2022-04-18,13.0
2022-04-19,18.0
2022-04-20,19.0
2022-04-21,24.0
2022-04-22,21.0
2022-04-23,24.0
2022-04-24,20.0
2022-04-25,16.0
2022-04-26,27.0
2022-04-27,15.0
2022-04-28,22.0
2022-04-29,18.0
2022-04-30,10.0
2022-05-01,15.0
2022-05-02,19.0
2022-05-03,20.0
2022-05-04,26.0
2022-05-05,14.0
2022-05-06,16.0
2022-05-07,28.0
2022-05-08,17.0
2022-05-09,19.0
2022-05-10,11.0
2022-05-11,15.0
2022-05-12,15.0
2022-05-13,14.0
2022-05-14,26.0
2022-05-15,22.0
2022-05-16,16.0
2022-05-17,15.0
2022-05-18,24.0
2022-05-19,18.0
2022-05-20,16.0
2022-05-21,29.0
2022-05-22,17.0
2022-05-23,18.0
2022-05-24,14.0
2022-05-25,13.0
2022-05-26,15.0
2022-05-27,21.0
2022-05-28,15.0
2022-05-29,0.0
2022-05-30,19.0
2022-05-31,19.0
2022-06-01,19.0
2022-06-02,15.0
2022-06-03,24.0
2022-06-04,16.0
2022-06-05,21.0
2022-06-06,18.0
2022-06-07,22.0
2022-06-08,20.0
2022-06-09,25.0
2022-06-10,20.0
2022-06-11,14.0
2022-06-12,12.0
2022-06-13,21.0
2022-06-14,19.0
2022-06-15,17.0
2022-06-16,17.0
2022-06-17,15.0
2022-06-18,22.0
2022-06-19,16.0
2022-06-20,20.0
2022-06-21,33.0
2022-06-22,16.0
2022-06-23,15.0
2022-06-24,18.0
2022-06-25,13.0
2022-06-26,0.0
2022-06-27,15.0
2022-06-28,18.0
2022-06-29,14.0
2022-06-30,10.0
2022-07-01,18.0
2022-07-02,20.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,24.0
2022-07-07,20.0
2022-07-08,17.0
2022-07-09,23.0
2022-07-10,30.0
2022-07-11,23.0
2022-07-12,22.0
2022-07-13,19.0
2022-07-14,16.0
2022-07-15,20.0
2022-07-16,16.0
2022-07-17,19.0
2022-07-18,25.0
2022-07-19,14.0
2022-07-20,0.0
2022-07-21,21.0
2022-07-22,18.0
2022-07-23,19.0
2022-07-24,20.0
2022-07-25,19.0
2022-07-26,26.0
2022-07-27,16.0
2022-07-28,21.0
2022-07-29,16.0
2022-07-30,25.0
2022-07-31,24.0
2022-08-01,16.0
2022-08-02,16.0
2022-08-03,44.0
2022-08-04,100.0
2022-08-05,82.0
2022-08-06,33.0
2022-08-07,33.0
2022-08-08,21.0
2022-08-09,18.0
2022-08-10,23.0
2022-08-11,17.0
2022-08-12,0.0
2022-08-13,18.0
2022-08-14,24.0
2022-08-15,14.0
2022-08-16,18.0
2022-08-17,21.0
2022-08-18,15.0
2022-08-19,24.0
2022-08-20,13.0
2022-08-21,0.0
2022-08-22,18.0
2022-08-23,23.0
2022-08-24,15.0
2022-08-25,20.0
2022-08-26,19.0
2022-08-27,18.0
2022-08-28,17.0
2022-08-29,19.0
2022-08-30,20.75
2022-08-31,20.0
2022-09-01,15.75
2022-09-02,18.0
2022-09-03,18.75
2022-09-04,12.0
2022-09-05,14.75
2022-09-06,15.0
2022-09-07,15.75
2022-09-08,13.0
2022-09-09,19.75
2022-09-10,19.75
2022-09-11,18.75
2022-09-12,12.0
2022-09-13,25.0
2022-09-14,17.0
2022-09-15,16.75
2022-09-16,0.0
2022-09-17,16.0
2022-09-18,15.0
2022-09-19,13.0
2022-09-20,18.75
2022-09-21,24.25
2022-09-22,32.0
2022-09-23,12.25
2022-09-24,21.75
2022-09-25,16.0
2022-09-26,13.75
2022-09-27,9.0
2022-09-28,17.5
2022-09-29,12.0
2022-09-30,17.5
2022-10-01,11.0
2022-10-02,14.0
2022-10-03,10.5
2022-10-04,27.5
2022-10-05,17.5
2022-10-06,20.0
2022-10-07,15.5
2022-10-08,16.0
2022-10-09,0.0
2022-10-10,17.0
2022-10-11,13.0
2022-10-12,11.5
2022-10-13,17.5
2022-10-14,14.5
2022-10-15,20.5
2022-10-16,16.5
2022-10-17,14.5
2022-10-18,15.0
2022-10-19,16.5
2022-10-20,32.5
2022-10-21,13.5
2022-10-22,12.0
2022-10-23,15.5
2022-10-24,21.0
2022-10-25,16.0
2022-10-26,21.5
2022-10-27,11.0
2022-10-28,15.5
2022-10-29,18.5
2022-10-30,0.0
2022-10-31,10.5
2022-11-01,48.5
2022-11-02,27.0
2022-11-03,17.0
2022-11-04,9.5
2022-11-05,20.5
2022-11-06,25.5
2022-11-07,21.0
2022-11-08,13.5
2022-11-09,20.5
2022-11-10,18.5
2022-11-11,14.5
2022-11-12,14.5
2022-11-13,12.5
2022-11-14,28.5
2022-11-15,17.5
2022-11-16,27.0
2022-11-17,15.5
2022-11-18,15.5
2022-11-19,22.0
2022-11-20,18.0
2022-11-21,23.0
2022-11-22,21.0
2022-11-23,20.0
2022-11-24,29.5
2022-11-25,10.0
2022-11-26,14.0
2022-11-27,17.5
2022-11-28,18.5
2022-11-29,17.0
2022-11-30,17.5
2022-12-01,18.0
2022-12-02,17.0
2022-12-03,26.0
2022-12-04,13.5
2022-12-05,17.5
2022-12-06,20.5
2022-12-07,16.5
2022-12-08,16.5
2022-12-09,16.0
2022-12-10,13.0
2022-12-11,0.0
2022-12-12,17.5
2022-12-13,21.0
2022-12-14,9.0
2022-12-15,10.5
2022-12-16,20.0
2022-12-17,23.5
2022-12-18,18.0
2022-12-19,19.0
2022-12-20,0.0
2022-12-21,0.0
2022-12-22,20.0
2022-12-23,15.5
2022-12-24,15.0
2022-12-25,25.5
2022-12-26,0.0
2022-12-27,16.5
2022-12-28,13.5
2022-12-29,18.0
2022-12-30,21.5
2022-12-31,16.0
2023-01-01,0.0
2023-01-02,14.0
2023-01-03,20.0
2023-01-04,16.0
2023-01-05,18.0
2023-01-06,17.5
2023-01-07,16.5
2023-01-08,21.5
2023-01-09,13.5
2023-01-10,21.5
2023-01-11,21.5
2023-01-12,20.0
2023-01-13,0.0
2023-01-14,17.0
2023-01-15,14.5
2023-01-16,19.0
2023-01-17,14.5
2023-01-18,16.0
2023-01-19,24.5
2023-01-20,18.5
2023-01-21,13.0
2023-01-22,17.0
2023-01-23,14.0
2023-01-24,27.0
2023-01-25,15.5
2023-01-26,29.0
2023-01-27,16.5
2023-01-28,43.5
2023-01-29,50.0
2023-01-30,41.0
2023-01-31,30.5
2023-02-01,16.5
2023-02-02,0.0
2023-02-03,18.0
2023-02-04,19.0
2023-02-05,29.5
2023-02-06,18.0
2023-02-07,21.0
2023-02-08,18.0
2023-02-09,20.5
2023-02-10,19.0
2023-02-11,16.5
2023-02-12,19.5
2023-02-13,19.5
2023-02-14,24.0
2023-02-15,16.5
2023-02-16,14.0
2023-02-17,21.0
2023-02-18,25.0
2023-02-19,21.0
2023-02-20,15.0
2023-02-21,25.5
2023-02-22,22.0
2023-02-23,14.5
2023-02-24,13.5
2023-02-25,13.5
2023-02-26,0.0
2023-02-27,13.5
2023-02-28,18.5
2023-03-01,17.5
2023-03-02,20.0
2023-03-03,17.0
2023-03-04,21.0
2023-03-05,18.0
2023-03-06,15.0
2023-03-07,25.5
2023-03-08,22.0
2023-03-09,17.5
2023-03-10,22.5
2023-03-11,14.0
2023-03-12,13.5
2023-03-13,20.5
2023-03-14,21.5
2023-03-15,23.5
2023-03-16,17.5
2023-03-17,14.5
2023-03-18,24.5
2023-03-19,18.5
2023-03-20,18.5
2023-03-21,18.0
2023-03-22,16.5
2023-03-23,14.5
2023-03-24,15.5
2023-03-25,22.5
2023-03-26,22.5
2023-03-27,15.0
2023-03-28,19.5
2023-03-29,17.5
2023-03-30,19.0
2023-03-31,12.0
2023-04-01,21.0
2023-04-02,18.5
2023-04-03,14.5
2023-04-04,16.0
2023-04-05,14.5
2023-04-06,17.5
2023-04-07,13.0
2023-04-08,20.5
2023-04-09,16.5
2023-04-10,15.5
2023-04-11,14.5
2023-04-12,14.0
2023-04-13,14.5
2023-04-14,13.5
2023-04-15,29.5
2023-04-16,15.5
2023-04-17,18.0
2023-04-18,18.5
2023-04-19,25.0
2023-04-20,17.5
2023-04-21,14.0
2023-04-22,22.5
2023-04-23,17.5
2023-04-24,21.0
2023-04-25,21.5
2023-04-26,19.1
2023-04-27,13.35
2023-04-28,20.2
2023-04-29,22.9
2023-04-30,16.1
2023-05-01,13.899999999999999
2023-05-02,12.0
2023-05-03,13.899999999999999
2023-05-04,21.549999999999997
2023-05-05,19.35
2023-05-06,12.8
