Time,celtics
2022-01-01,2.0
2022-01-02,2.0
2022-01-03,3.0
2022-01-04,2.0
2022-01-05,2.0
2022-01-06,3.0
2022-01-07,5.0
2022-01-08,3.0
2022-01-09,4.0
2022-01-10,2.0
2022-01-11,3.0
2022-01-12,2.0
2022-01-13,3.0
2022-01-14,2.0
2022-01-15,4.0
2022-01-16,4.0
2022-01-17,3.0
2022-01-18,2.0
2022-01-19,3.0
2022-01-20,4.0
2022-01-21,2.0
2022-01-22,4.0
2022-01-23,3.0
2022-01-24,2.0
2022-01-25,2.0
2022-01-26,3.0
2022-01-27,2.0
2022-01-28,2.0
2022-01-29,4.0
2022-01-30,3.0
2022-01-31,2.0
2022-02-01,4.0
2022-02-02,2.0
2022-02-03,4.0
2022-02-04,2.0
2022-02-05,4.0
2022-02-06,3.0
2022-02-07,4.0
2022-02-08,4.0
2022-02-09,7.0
2022-02-10,5.0
2022-02-11,4.0
2022-02-12,6.0
2022-02-13,6.0
2022-02-14,3.0
2022-02-15,3.0
2022-02-16,9.0
2022-02-17,5.0
2022-02-18,2.0
2022-02-19,2.0
2022-02-20,2.0
2022-02-21,2.0
2022-02-22,2.0
2022-02-23,2.0
2022-02-24,2.0
2022-02-25,5.0
2022-02-26,5.0
2022-02-27,5.0
2022-02-28,3.0
2022-03-01,2.0
2022-03-02,5.0
2022-03-03,3.0
2022-03-04,6.0
2022-03-05,3.0
2022-03-06,8.0
2022-03-07,4.0
2022-03-08,2.0
2022-03-09,3.0
2022-03-10,5.0
2022-03-11,3.0
2022-03-12,6.0
2022-03-13,8.0
2022-03-14,3.0
2022-03-15,2.0
2022-03-16,3.0
2022-03-17,7.0
2022-03-18,2.0
2022-03-19,5.0
2022-03-20,3.0
2022-03-21,6.0
2022-03-22,5.0
2022-03-23,3.0
2022-03-24,6.0
2022-03-25,3.0
2022-03-26,3.0
2022-03-27,5.0
2022-03-28,7.0
2022-03-29,6.0
2022-03-30,4.0
2022-03-31,6.0
2022-04-01,3.0
2022-04-02,5.0
2022-04-03,6.0
2022-04-04,3.0
2022-04-05,2.0
2022-04-06,3.0
2022-04-07,6.0
2022-04-08,6.0
2022-04-09,3.0
2022-04-10,5.0
2022-04-11,6.0
2022-04-12,2.0
2022-04-13,4.0
2022-04-14,3.0
2022-04-15,2.0
2022-04-16,3.0
2022-04-17,24.0
2022-04-18,9.0
2022-04-19,5.0
2022-04-20,10.0
2022-04-21,23.0
2022-04-22,5.0
2022-04-23,12.0
2022-04-24,26.0
2022-04-25,12.0
2022-04-26,24.0
