Time,new_york_yankees
2022-01-01,7.0
2022-01-02,7.0
2022-01-03,6.0
2022-01-04,7.0
2022-01-05,6.0
2022-01-06,5.0
2022-01-07,7.0
2022-01-08,6.0
2022-01-09,6.0
2022-01-10,6.0
2022-01-11,7.0
2022-01-12,7.0
2022-01-13,6.0
2022-01-14,5.0
2022-01-15,5.0
2022-01-16,5.0
2022-01-17,5.0
2022-01-18,6.0
2022-01-19,5.0
2022-01-20,6.0
2022-01-21,5.0
2022-01-22,6.0
2022-01-23,6.0
2022-01-24,7.0
2022-01-25,6.0
2022-01-26,5.0
2022-01-27,6.0
2022-01-28,5.0
2022-01-29,5.0
2022-01-30,6.0
2022-01-31,5.0
2022-02-01,6.0
2022-02-02,6.0
2022-02-03,6.0
2022-02-04,6.0
2022-02-05,6.0
2022-02-06,7.0
2022-02-07,5.0
2022-02-08,6.0
2022-02-09,6.0
2022-02-10,5.0
2022-02-11,6.0
2022-02-12,6.0
2022-02-13,6.0
2022-02-14,7.0
2022-02-15,6.0
2022-02-16,6.0
2022-02-17,6.0
2022-02-18,5.0
2022-02-19,6.0
2022-02-20,6.0
2022-02-21,6.0
2022-02-22,6.0
2022-02-23,6.0
2022-02-24,5.0
2022-02-25,6.0
2022-02-26,5.0
2022-02-27,5.0
2022-02-28,5.0
2022-03-01,6.0
2022-03-02,6.0
2022-03-03,6.0
2022-03-04,5.0
2022-03-05,5.0
2022-03-06,6.0
2022-03-07,5.0
2022-03-08,6.0
2022-03-09,5.0
2022-03-10,8.0
2022-03-11,17.0
2022-03-12,17.0
2022-03-13,20.0
2022-03-14,28.0
2022-03-15,21.0
2022-03-16,22.0
2022-03-17,18.0
2022-03-18,16.0
2022-03-19,19.0
2022-03-20,19.0
2022-03-21,16.0
2022-03-22,15.0
2022-03-23,14.0
2022-03-24,17.0
2022-03-25,13.0
2022-03-26,13.0
2022-03-27,15.0
2022-03-28,12.0
2022-03-29,15.0
2022-03-30,12.0
2022-03-31,14.0
2022-04-01,13.0
2022-04-02,15.0
2022-04-03,17.0
2022-04-04,15.0
2022-04-05,15.0
2022-04-06,17.0
2022-04-07,18.0
2022-04-08,46.0
2022-04-09,40.0
