Time,bbc news
2022-01-01,12
2022-01-02,12
2022-01-03,12
2022-01-04,14
2022-01-05,15
2022-01-06,12
2022-01-07,12
2022-01-08,11
2022-01-09,11
2022-01-10,13
2022-01-11,12
2022-01-12,12
2022-01-13,12
2022-01-14,11
2022-01-15,12
2022-01-16,12
2022-01-17,12
2022-01-18,12
2022-01-19,14
2022-01-20,12
2022-01-21,13
2022-01-22,11
2022-01-23,11
2022-01-24,18
2022-01-25,13
2022-01-26,12
2022-01-27,13
2022-01-28,15
2022-01-29,12
2022-01-30,12
2022-01-31,14
2022-02-01,13
2022-02-02,13
2022-02-03,13
2022-02-04,12
2022-02-05,12
2022-02-06,12
2022-02-07,14
2022-02-08,13
2022-02-09,12
2022-02-10,10
2022-02-11,15
2022-02-12,15
2022-02-13,13
2022-02-14,14
2022-02-15,16
2022-02-16,14
2022-02-17,15
2022-02-18,16
2022-02-19,17
2022-02-20,18
2022-02-21,21
2022-02-22,26
2022-02-23,22
2022-02-24,68
2022-02-25,54
2022-02-26,51
2022-02-27,52
2022-02-28,53
2022-03-01,48
2022-03-02,41
2022-03-03,34
2022-03-04,35
2022-03-05,31
2022-03-06,28
2022-03-07,28
2022-03-08,27
2022-03-09,29
2022-03-10,27
2022-03-11,24
2022-03-12,23
2022-03-13,25
2022-03-14,25
2022-03-15,23
2022-03-16,24
2022-03-17,23
2022-03-18,21
2022-03-19,19
2022-03-20,19
2022-03-21,20
2022-03-22,21
2022-03-23,20
2022-03-24,20
2022-03-25,19
2022-03-26,18
2022-03-27,18
2022-03-28,18
2022-03-29,18
2022-03-30,17
2022-03-31,16
2022-04-01,16
2022-04-02,15
2022-04-03,16
2022-04-04,18
2022-04-05,17
2022-04-06,16
2022-04-07,16
2022-04-08,15
2022-04-09,15
2022-04-10,15
2022-04-11,16
2022-04-12,17
2022-04-13,16
2022-04-14,17
2022-04-15,17
2022-04-16,17
2022-04-17,17
2022-04-18,18
2022-04-19,17
2022-04-20,15
2022-04-21,15
2022-04-22,14
2022-04-23,14
2022-04-24,16
2022-04-25,16
2022-04-26,15
2022-04-27,15
2022-04-28,14
2022-04-29,13
2022-04-30,13
2022-05-01,13
2022-05-02,15
2022-05-03,15
2022-05-04,15
2022-05-05,14
2022-05-06,15
2022-05-07,15
2022-05-08,13
2022-05-09,16
2022-05-10,16
2022-05-11,15
2022-05-12,16
2022-05-13,15
2022-05-14,14
2022-05-15,15
2022-05-16,15
2022-05-17,15
2022-05-18,15
2022-05-19,14
2022-05-20,13
2022-05-21,14
2022-05-22,12
2022-05-23,15
2022-05-24,16
2022-05-25,18
2022-05-26,14
2022-05-27,14
2022-05-28,14
2022-05-29,14
2022-05-30,13
2022-05-31,14
2022-06-01,14
2022-06-02,15
2022-06-03,14
2022-06-04,13
2022-06-05,14
2022-06-06,16
2022-06-07,13
2022-06-08,13
2022-06-09,13
2022-06-10,13
2022-06-11,11
2022-06-12,12
2022-06-13,14
2022-06-14,13
2022-06-15,12
2022-06-16,12
2022-06-17,12
2022-06-18,11
2022-06-19,11
2022-06-20,12
2022-06-21,13
2022-06-22,13
2022-06-23,13
2022-06-24,16
2022-06-25,13
2022-06-26,12
2022-06-27,13
2022-06-28,13
2022-06-29,13
2022-06-30,12
2022-07-01,12
2022-07-02,11
2022-07-03,12
2022-07-04,13
2022-07-05,15
2022-07-06,16
2022-07-07,19
2022-07-08,18
2022-07-09,14
2022-07-10,13
2022-07-11,13
2022-07-12,13
2022-07-13,13
2022-07-14,14
2022-07-15,13
2022-07-16,11
2022-07-17,13
2022-07-18,14
2022-07-19,15
2022-07-20,14
2022-07-21,13
2022-07-22,13
2022-07-23,11
2022-07-24,12
2022-07-25,13
2022-07-26,14
2022-07-27,13
2022-07-28,13
2022-07-29,13
2022-07-30,11
2022-07-31,12
2022-08-01,13
2022-08-02,16
2022-08-03,13
2022-08-04,15
2022-08-05,13
2022-08-06,13
2022-08-07,12
2022-08-08,13
2022-08-09,16
2022-08-10,14
2022-08-11,14
2022-08-12,15
2022-08-13,14
2022-08-14,14
2022-08-15,15
2022-08-16,14
2022-08-17,14
2022-08-18,13
2022-08-19,13
2022-08-20,12
2022-08-21,13
2022-08-22,14
2022-08-23,14
2022-08-24,13
2022-08-25,13
2022-08-26,13
2022-08-27,11
2022-08-28,12
2022-08-29,13
2022-08-30,14
2022-08-31,13
2022-09-01,14
2022-09-02,13
2022-09-03,11
2022-09-04,12
2022-09-05,15
2022-09-06,15
2022-09-07,13
2022-09-08,100
2022-09-09,34
2022-09-10,21
2022-09-11,20
2022-09-12,25
2022-09-13,21
2022-09-14,23
2022-09-15,20
2022-09-16,20
2022-09-17,19
2022-09-18,18
2022-09-19,31
2022-09-20,18
2022-09-21,18
2022-09-22,16
2022-09-23,17
2022-09-24,14
2022-09-25,15
2022-09-26,17
2022-09-27,17
