Time,yellowstone_season_5
2022-01-01,8.0
2022-01-02,16.0
2022-01-03,100.0
2022-01-04,55.0
2022-01-05,23.0
2022-01-06,13.0
2022-01-07,11.0
2022-01-08,13.0
2022-01-09,14.0
2022-01-10,14.0
2022-01-11,8.0
2022-01-12,8.0
2022-01-13,7.0
2022-01-14,6.0
2022-01-15,9.0
2022-01-16,9.0
2022-01-17,9.0
2022-01-18,7.0
2022-01-19,6.0
2022-01-20,6.0
2022-01-21,5.0
2022-01-22,7.0
2022-01-23,7.0
2022-01-24,8.0
2022-01-25,4.0
2022-01-26,5.0
2022-01-27,5.0
2022-01-28,5.0
2022-01-29,6.0
2022-01-30,8.0
2022-01-31,6.0
2022-02-01,5.0
2022-02-02,5.0
2022-02-03,7.0
2022-02-04,6.0
2022-02-05,5.0
2022-02-06,8.0
2022-02-07,7.0
2022-02-08,5.0
2022-02-09,4.0
2022-02-10,4.0
2022-02-11,4.0
2022-02-12,4.0
2022-02-13,6.0
2022-02-14,4.0
2022-02-15,4.0
2022-02-16,4.0
2022-02-17,5.0
2022-02-18,4.0
2022-02-19,7.0
2022-02-20,11.0
2022-02-21,12.0
2022-02-22,10.0
2022-02-23,6.0
2022-02-24,4.0
2022-02-25,5.0
2022-02-26,5.0
2022-02-27,8.0
2022-02-28,9.0
2022-03-01,7.0
2022-03-02,6.0
2022-03-03,5.0
2022-03-04,4.0
2022-03-05,6.0
2022-03-06,8.0
2022-03-07,6.0
2022-03-08,5.0
2022-03-09,5.0
2022-03-10,5.0
2022-03-11,4.0
2022-03-12,5.0
2022-03-13,7.0
2022-03-14,6.0
2022-03-15,5.0
2022-03-16,6.0
2022-03-17,4.0
2022-03-18,4.0
2022-03-19,6.0
2022-03-20,7.0
2022-03-21,5.0
2022-03-22,5.0
2022-03-23,5.0
2022-03-24,6.0
2022-03-25,5.0
2022-03-26,8.0
2022-03-27,18.0
2022-03-28,18.0
2022-03-29,13.0
2022-03-30,10.0
2022-03-31,8.0
2022-04-01,7.0
2022-04-02,9.0
2022-04-03,10.0
2022-04-04,8.0
2022-04-05,7.0
2022-04-06,7.0
2022-04-07,8.0
2022-04-08,6.0
2022-04-09,8.0
2022-04-10,10.0
2022-04-11,8.0
2022-04-12,6.0
2022-04-13,5.0
2022-04-14,5.0
2022-04-15,6.0
2022-04-16,7.0
2022-04-17,8.0
2022-04-18,7.0
2022-04-19,6.0
2022-04-20,6.0
2022-04-21,5.0
2022-04-22,5.0
2022-04-23,6.0
2022-04-24,8.0
2022-04-25,6.0
2022-04-26,5.0
2022-04-27,5.0
2022-04-28,4.0
2022-04-29,5.0
2022-04-30,5.0
2022-05-01,6.0
2022-05-02,5.0
2022-05-03,5.0
2022-05-04,5.0
2022-05-05,4.0
2022-05-06,4.0
2022-05-07,5.0
2022-05-08,7.0
2022-05-09,5.0
2022-05-10,4.0
2022-05-11,4.0
2022-05-12,5.0
2022-05-13,4.0
2022-05-14,5.0
2022-05-15,7.0
2022-05-16,5.0
2022-05-17,5.0
2022-05-18,7.0
2022-05-19,6.0
2022-05-20,4.0
2022-05-21,5.0
2022-05-22,6.0
2022-05-23,4.0
2022-05-24,4.0
2022-05-25,3.0
2022-05-26,4.0
2022-05-27,3.0
2022-05-28,7.0
2022-05-29,10.0
2022-05-30,14.0
2022-05-31,10.0
2022-06-01,6.0
2022-06-02,4.0
2022-06-03,4.0
2022-06-04,5.0
2022-06-05,7.0
2022-06-06,7.0
2022-06-07,5.0
2022-06-08,5.0
2022-06-09,5.0
2022-06-10,4.0
2022-06-11,6.0
2022-06-12,9.0
2022-06-13,7.0
2022-06-14,5.0
2022-06-15,4.0
2022-06-16,5.0
2022-06-17,4.0
2022-06-18,6.0
2022-06-19,11.0
2022-06-20,10.0
2022-06-21,6.0
2022-06-22,5.0
2022-06-23,5.0
2022-06-24,4.0
2022-06-25,5.0
2022-06-26,6.0
2022-06-27,6.0
2022-06-28,6.0
2022-06-29,6.0
2022-06-30,5.0
2022-07-01,7.0
2022-07-02,9.0
2022-07-03,10.0
2022-07-04,12.0
2022-07-05,8.0
2022-07-06,6.0
2022-07-07,5.0
2022-07-08,5.0
2022-07-09,5.0
2022-07-10,6.0
2022-07-11,6.0
2022-07-12,6.0
2022-07-13,5.0
2022-07-14,5.0
2022-07-15,5.0
2022-07-16,5.0
2022-07-17,7.0
2022-07-18,5.0
2022-07-19,5.0
2022-07-20,5.0
2022-07-21,4.0
2022-07-22,4.0
2022-07-23,5.0
2022-07-24,6.0
2022-07-25,6.0
2022-07-26,4.0
2022-07-27,4.0
2022-07-28,4.0
2022-07-29,4.0
2022-07-30,4.0
2022-07-31,6.0
2022-08-01,5.0
2022-08-02,4.0
2022-08-03,4.0
2022-08-04,5.0
2022-08-05,4.0
2022-08-06,5.0
2022-08-07,6.0
2022-08-08,5.0
2022-08-09,4.0
2022-08-10,4.0
2022-08-11,4.0
2022-08-12,4.0
2022-08-13,4.0
2022-08-14,7.0
