Time,adidas
2022-01-01,44
2022-01-02,54
2022-01-03,44
2022-01-04,47
2022-01-05,42
2022-01-06,37
2022-01-07,41
2022-01-08,50
2022-01-09,50
2022-01-10,42
2022-01-11,41
2022-01-12,41
2022-01-13,53
2022-01-14,36
2022-01-15,47
2022-01-16,47
2022-01-17,37
2022-01-18,39
2022-01-19,38
2022-01-20,36
2022-01-21,38
2022-01-22,47
2022-01-23,46
2022-01-24,52
2022-01-25,33
2022-01-26,39
2022-01-27,40
2022-01-28,39
2022-01-29,45
2022-01-30,47
2022-01-31,41
2022-02-01,39
2022-02-02,39
2022-02-03,38
2022-02-04,39
2022-02-05,49
2022-02-06,52
2022-02-07,42
2022-02-08,43
2022-02-09,59
2022-02-10,70
2022-02-11,100
2022-02-12,57
2022-02-13,53
2022-02-14,45
2022-02-15,46
2022-02-16,54
2022-02-17,52
2022-02-18,50
2022-02-19,59
2022-02-20,64
2022-02-21,57
2022-02-22,52
2022-02-23,49
2022-02-24,43
2022-02-25,51
2022-02-26,61
2022-02-27,64
2022-02-28,55
2022-03-01,51
2022-03-02,51
2022-03-03,51
2022-03-04,49
2022-03-05,60
2022-03-06,63
2022-03-07,59
2022-03-08,51
2022-03-09,52
2022-03-10,52
2022-03-11,52
2022-03-12,62
2022-03-13,62
2022-03-14,51
2022-03-15,51
2022-03-16,52
2022-03-17,50
2022-03-18,51
2022-03-19,63
2022-03-20,70
2022-03-21,60
2022-03-22,60
2022-03-23,57
2022-03-24,56
2022-03-25,51
2022-03-26,62
2022-03-27,67
2022-03-28,49
2022-03-29,49
2022-03-30,53
2022-03-31,49
2022-04-01,52
2022-04-02,61
2022-04-03,64
2022-04-04,51
2022-04-05,50
2022-04-06,53
2022-04-07,51
2022-04-08,51
2022-04-09,60
2022-04-10,62
2022-04-11,50
2022-04-12,46
2022-04-13,49
2022-04-14,49
2022-04-15,52
2022-04-16,60
2022-04-17,60
2022-04-18,48
2022-04-19,50
2022-04-20,47
2022-04-21,50
2022-04-22,51
2022-04-23,57
2022-04-24,62
2022-04-25,48
2022-04-26,47
2022-04-27,48
2022-04-28,46
2022-04-29,48
2022-04-30,55
2022-05-01,58
2022-05-02,48
2022-05-03,48
2022-05-04,48
2022-05-05,47
2022-05-06,44
2022-05-07,53
2022-05-08,57
2022-05-09,49
2022-05-10,46
2022-05-11,51
2022-05-12,54
2022-05-13,47
2022-05-14,52
2022-05-15,57
2022-05-16,48
2022-05-17,45
2022-05-18,44
2022-05-19,44
2022-05-20,42
2022-05-21,51
2022-05-22,56
2022-05-23,45
2022-05-24,46
2022-05-25,40
2022-05-26,43
2022-05-27,44
2022-05-28,52
2022-05-29,54
2022-05-30,55
2022-05-31,47
2022-06-01,44
2022-06-02,42
2022-06-03,44
2022-06-04,50
2022-06-05,54
2022-06-06,53
2022-06-07,54
2022-06-08,49
2022-06-09,49
2022-06-10,49
2022-06-11,53
2022-06-12,55
2022-06-13,51
2022-06-14,55
2022-06-15,50
2022-06-16,47
2022-06-17,45
2022-06-18,59
2022-06-19,55
2022-06-20,56
2022-06-21,46
2022-06-22,48
2022-06-23,48
2022-06-24,43
2022-06-25,52
2022-06-26,53
2022-06-27,48
2022-06-28,45
2022-06-29,44
2022-06-30,45
2022-07-01,47
2022-07-02,51
2022-07-03,54
2022-07-04,51
2022-07-05,44
2022-07-06,45
2022-07-07,46
2022-07-08,49
2022-07-09,54
2022-07-10,55
2022-07-11,50
2022-07-12,52
2022-07-13,50
2022-07-14,50
2022-07-15,52
2022-07-16,59
2022-07-17,59
2022-07-18,51
2022-07-19,53
2022-07-20,51
2022-07-21,56
2022-07-22,58
2022-07-23,61
2022-07-24,65
2022-07-25,59
2022-07-26,56
2022-07-27,54
2022-07-28,52
2022-07-29,59
2022-07-30,61
2022-07-31,68
2022-08-01,63
2022-08-02,89
2022-08-03,76
2022-08-04,73
2022-08-05,76
2022-08-06,86
2022-08-07,90
2022-08-08,71
2022-08-09,67
2022-08-10,59
2022-08-11,60
2022-08-12,59
2022-08-13,67
2022-08-14,71
2022-08-15,65
2022-08-16,56
2022-08-17,57
2022-08-18,59
2022-08-19,57
2022-08-20,71
2022-08-21,71
2022-08-22,57
2022-08-23,61
2022-08-24,58
2022-08-25,55
2022-08-26,58
2022-08-27,68
2022-08-28,68
2022-08-29,59
2022-08-30,60
2022-08-31,56
2022-09-01,56
2022-09-02,55
2022-09-03,67
2022-09-04,72
2022-09-05,70
2022-09-06,61
2022-09-07,55
2022-09-08,48
2022-09-09,45
2022-09-10,54
2022-09-11,51
2022-09-12,46
2022-09-13,45
2022-09-14,45
2022-09-15,46
2022-09-16,46
2022-09-17,51
2022-09-18,54
2022-09-19,45
2022-09-20,45
2022-09-21,41
2022-09-22,41
2022-09-23,46
2022-09-24,48
2022-09-25,51
2022-09-26,46
2022-09-27,45
