Time,chase_login
2022-01-01,47.0
2022-01-02,50.0
2022-01-03,87.0
2022-01-04,99.0
2022-01-05,86.0
2022-01-06,69.0
2022-01-07,82.0
2022-01-08,54.0
2022-01-09,43.0
2022-01-10,65.0
2022-01-11,73.0
2022-01-12,70.0
2022-01-13,70.0
2022-01-14,70.0
2022-01-15,54.0
2022-01-16,38.0
2022-01-17,57.0
2022-01-18,64.0
2022-01-19,68.0
2022-01-20,70.0
2022-01-21,72.0
2022-01-22,51.0
2022-01-23,43.0
2022-01-24,79.0
2022-01-25,62.0
2022-01-26,63.0
2022-01-27,69.0
2022-01-28,75.0
2022-01-29,59.0
2022-01-30,48.0
2022-01-31,75.0
2022-02-01,87.0
2022-02-02,79.0
2022-02-03,74.0
2022-02-04,83.0
2022-02-05,61.0
2022-02-06,51.0
2022-02-07,71.0
2022-02-08,76.0
2022-02-09,71.0
2022-02-10,65.0
2022-02-11,75.0
2022-02-12,55.0
2022-02-13,45.0
2022-02-14,62.0
2022-02-15,80.0
2022-02-16,77.0
2022-02-17,68.0
2022-02-18,71.0
2022-02-19,59.0
2022-02-20,48.0
2022-02-21,64.0
2022-02-22,70.0
2022-02-23,69.0
2022-02-24,68.0
2022-02-25,75.0
2022-02-26,61.0
2022-02-27,51.0
2022-02-28,76.0
2022-03-01,82.0
2022-03-02,79.0
2022-03-03,76.0
2022-03-04,74.0
2022-03-05,60.0
2022-03-06,49.0
2022-03-07,75.0
2022-03-08,76.0
2022-03-09,78.0
2022-03-10,72.0
2022-03-11,73.0
2022-03-12,55.0
2022-03-13,49.0
2022-03-14,70.0
2022-03-15,76.0
2022-03-16,75.0
2022-03-17,70.0
2022-03-18,73.0
2022-03-19,56.0
2022-03-20,51.0
2022-03-21,69.0
2022-03-22,69.0
2022-03-23,81.0
2022-03-24,77.0
2022-03-25,69.0
2022-03-26,55.0
2022-03-27,47.0
2022-03-28,58.0
2022-03-29,65.0
2022-03-30,70.0
2022-03-31,73.0
2022-04-01,84.0
2022-04-02,67.0
2022-04-03,59.0
2022-04-04,75.0
2022-04-05,78.0
2022-04-06,69.0
2022-04-07,67.0
2022-04-08,71.0
2022-04-09,58.0
2022-04-10,53.0
2022-04-11,73.0
2022-04-12,77.0
2022-04-13,80.0
2022-04-14,69.0
2022-04-15,79.0
2022-04-16,59.0
2022-04-17,46.0
2022-04-18,74.0
2022-04-19,71.0
2022-04-20,69.0
2022-04-21,64.0
2022-04-22,76.0
2022-04-23,55.0
2022-04-24,45.0
2022-04-25,73.0
2022-04-26,67.0
2022-04-27,66.0
2022-04-28,68.0
2022-04-29,71.0
2022-04-30,62.0
2022-05-01,58.0
2022-05-02,76.0
2022-05-03,74.0
2022-05-04,69.0
2022-05-05,68.0
2022-05-06,75.0
2022-05-07,55.0
2022-05-08,42.0
2022-05-09,69.0
2022-05-10,74.0
2022-05-11,67.0
2022-05-12,73.0
2022-05-13,76.0
2022-05-14,58.0
2022-05-15,50.0
2022-05-16,70.0
2022-05-17,71.0
2022-05-18,68.0
2022-05-19,68.0
2022-05-20,69.0
2022-05-21,57.0
2022-05-22,48.0
2022-05-23,73.0
2022-05-24,73.0
2022-05-25,67.0
2022-05-26,70.0
2022-05-27,75.0
2022-05-28,55.0
2022-05-29,44.0
2022-05-30,55.0
2022-05-31,82.0
2022-06-01,95.0
2022-06-02,85.0
2022-06-03,91.0
2022-06-04,65.0
2022-06-05,52.0
2022-06-06,80.0
2022-06-07,86.0
2022-06-08,81.0
2022-06-09,76.0
2022-06-10,82.0
2022-06-11,60.0
2022-06-12,52.0
2022-06-13,76.0
2022-06-14,75.0
2022-06-15,90.0
2022-06-16,79.0
2022-06-17,76.0
2022-06-18,58.0
2022-06-19,44.0
2022-06-20,74.0
2022-06-21,77.0
2022-06-22,78.0
2022-06-23,82.0
2022-06-24,80.0
2022-06-25,59.0
2022-06-26,49.0
2022-06-27,81.0
2022-06-28,84.0
2022-06-29,85.0
2022-06-30,82.0
2022-07-01,99.0
2022-07-02,72.0
2022-07-03,54.0
2022-07-04,58.0
2022-07-05,92.0
2022-07-06,89.0
2022-07-07,83.0
2022-07-08,91.0
2022-07-09,63.0
2022-07-10,55.0
2022-07-11,86.0
2022-07-12,89.0
2022-07-13,81.0
2022-07-14,79.0
2022-07-15,84.0
2022-07-16,68.0
2022-07-17,53.0
2022-07-18,85.0
2022-07-19,85.0
2022-07-20,81.0
2022-07-21,81.0
2022-07-22,81.0
2022-07-23,59.0
2022-07-24,53.0
2022-07-25,79.0
2022-07-26,81.0
2022-07-27,78.0
2022-07-28,82.0
2022-07-29,92.0
2022-07-30,63.0
2022-07-31,58.0
2022-08-01,100.0
2022-08-02,89.0
2022-08-03,88.0
2022-08-04,85.0
2022-08-05,84.0
2022-08-06,65.0
2022-08-07,56.0
2022-08-08,82.0
2022-08-09,87.0
2022-08-10,85.0
2022-08-11,80.0
2022-08-12,86.0
2022-08-13,64.0
2022-08-14,54.0
2022-08-15,84.0
2022-08-16,85.0
2022-08-17,83.0
2022-08-18,77.0
2022-08-19,81.0
2022-08-20,65.0
2022-08-21,56.0
2022-08-22,78.0
2022-08-23,88.0
2022-08-24,82.0
2022-08-25,82.0
2022-08-26,76.0
2022-08-27,59.0
2022-08-28,52.0
2022-08-29,84.0
2022-08-30,79.0
2022-08-31,79.0
2022-09-01,86.0
2022-09-02,96.5
2022-09-03,64.5
2022-09-04,48.0
2022-09-05,63.0
2022-09-06,85.0
2022-09-07,80.0
2022-09-08,76.0
2022-09-09,78.5
2022-09-10,57.0
2022-09-11,50.0
2022-09-12,69.5
2022-09-13,78.0
2022-09-14,75.0
2022-09-15,86.0
2022-09-16,84.0
2022-09-17,62.0
2022-09-18,50.0
2022-09-19,87.0
2022-09-20,83.0
2022-09-21,74.0
2022-09-22,74.5
2022-09-23,76.0
2022-09-24,55.0
2022-09-25,50.0
2022-09-26,75.0
2022-09-27,76.0
2022-09-28,77.0
2022-09-29,74.0
2022-09-30,89.0
2022-10-01,73.0
2022-10-02,59.0
2022-10-03,89.0
2022-10-04,83.0
2022-10-05,77.0
2022-10-06,79.0
2022-10-07,89.0
2022-10-08,61.0
2022-10-09,51.0
2022-10-10,76.0
2022-10-11,77.0
2022-10-12,83.0
2022-10-13,78.0
2022-10-14,86.0
2022-10-15,65.0
2022-10-16,54.0
2022-10-17,76.0
2022-10-18,74.0
2022-10-19,76.0
2022-10-20,74.0
2022-10-21,78.0
