Time,when is father's day
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,1
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,1
2024-01-04,1
2024-01-05,0
2024-01-06,0
2024-01-07,1
2024-01-08,0
2024-01-09,0
2024-01-10,1
2024-01-11,1
2024-01-12,0
2024-01-13,1
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,1
2024-01-18,1
2024-01-19,1
2024-01-20,1
2024-01-21,1
2024-01-22,1
2024-01-23,1
2024-01-24,1
2024-01-25,1
2024-01-26,1
2024-01-27,1
2024-01-28,1
2024-01-29,1
2024-01-30,1
2024-01-31,1
2024-02-01,1
2024-02-02,1
2024-02-03,1
2024-02-04,1
2024-02-05,1
2024-02-06,1
2024-02-07,1
2024-02-08,1
2024-02-09,1
2024-02-10,1
2024-02-11,1
2024-02-12,0
2024-02-13,1
2024-02-14,1
2024-02-15,1
2024-02-16,1
2024-02-17,1
2024-02-18,1
2024-02-19,1
2024-02-20,1
2024-02-21,1
2024-02-22,1
2024-02-23,1
2024-02-24,1
2024-02-25,1
2024-02-26,1
2024-02-27,1
2024-02-28,1
2024-02-29,1
2024-03-01,1
2024-03-02,1
2024-03-03,1
2024-03-04,1
2024-03-05,1
2024-03-06,1
2024-03-07,1
2024-03-08,1
2024-03-09,1
2024-03-10,2
2024-03-11,1
2024-03-12,1
2024-03-13,1
2024-03-14,1
2024-03-15,1
2024-03-16,1
2024-03-17,1
2024-03-18,2
2024-03-19,4
2024-03-20,2
2024-03-21,1
2024-03-22,1
2024-03-23,1
2024-03-24,1
2024-03-25,1
2024-03-26,1
2024-03-27,1
2024-03-28,1
2024-03-29,1
2024-03-30,2
2024-03-31,2
2024-04-01,2
2024-04-02,2
2024-04-03,2
2024-04-04,2
2024-04-05,1
2024-04-06,2
2024-04-07,2
2024-04-08,2
2024-04-09,2
2024-04-10,2
2024-04-11,2
2024-04-12,2
2024-04-13,2
2024-04-14,3
2024-04-15,3
2024-04-16,3
2024-04-17,2
2024-04-18,2
2024-04-19,2
2024-04-20,2
2024-04-21,3
2024-04-22,2
2024-04-23,2
2024-04-24,3
2024-04-25,3
2024-04-26,3
2024-04-27,3
2024-04-28,4
2024-04-29,3
2024-04-30,4
2024-05-01,3
2024-05-02,4
2024-05-03,4
2024-05-04,4
2024-05-05,4
2024-05-06,5
2024-05-07,5
2024-05-08,5
2024-05-09,5
2024-05-10,7
2024-05-11,9
2024-05-12,21
2024-05-13,15
2024-05-14,8
2024-05-15,8
2024-05-16,8
2024-05-17,8
2024-05-18,9
2024-05-19,13
2024-05-20,9
2024-05-21,10
2024-05-22,11
2024-05-23,14
2024-05-24,12
2024-05-25,14
2024-05-26,18
2024-05-27,17
2024-05-28,18
2024-05-29,21
2024-05-30,24
2024-05-31,29
2024-06-01,36
2024-06-02,46
2024-06-03,37
2024-06-04,37
2024-06-05,41
2024-06-06,44
2024-06-07,49
2024-06-08,54
2024-06-09,79
2024-06-10,45
2024-06-11,40
2024-06-12,37
2024-06-13,39
2024-06-14,46
2024-06-15,76
2024-06-16,100
2024-06-17,11
2024-06-18,2
2024-06-19,1
2024-06-20,1
2024-06-21,1
2024-06-22,1
2024-06-23,1
2024-06-24,1
2024-06-25,1
2024-06-26,1
2024-06-27,1
2024-06-28,0
2024-06-29,1
2024-06-30,1
2024-07-01,1
2024-07-02,1
2024-07-03,1
2024-07-04,1
2024-07-05,1
2024-07-06,1
2024-07-07,1
2024-07-08,1
2024-07-09,0
2024-07-10,1
2024-07-11,1
2024-07-12,1
2024-07-13,1
2024-07-14,1
2024-07-15,1
2024-07-16,1
2024-07-17,1
2024-07-18,1
2024-07-19,1
2024-07-20,1
2024-07-21,0
2024-07-22,1
2024-07-23,1
2024-07-24,1
2024-07-25,1
2024-07-26,1
2024-07-27,1
2024-07-28,2
2024-07-29,1
2024-07-30,1
2024-07-31,1
2024-08-01,1
2024-08-02,0
2024-08-03,1
2024-08-04,0
2024-08-05,0
2024-08-06,1
2024-08-07,1
2024-08-08,1
2024-08-09,0
2024-08-10,1
2024-08-11,1
2024-08-12,1
2024-08-13,1
2024-08-14,1
2024-08-15,1
2024-08-16,1
2024-08-17,0
2024-08-18,1
2024-08-19,0
2024-08-20,1
2024-08-21,0
2024-08-22,0
2024-08-23,0
2024-08-24,1
2024-08-25,1
2024-08-26,1
2024-08-27,1
2024-08-28,0
2024-08-29,1
2024-08-30,1
2024-08-31,1
2024-09-01,3
2024-09-02,2
2024-09-03,1
2024-09-04,0
2024-09-05,0
2024-09-06,0
2024-09-07,0
2024-09-08,1
2024-09-09,0
2024-09-10,0
2024-09-11,1
2024-09-12,1
2024-09-13,0
2024-09-14,0
2024-09-15,0
2024-09-16,0
