Time,carhartt
2022-08-29,13
2022-08-30,13
2022-08-31,11
2022-09-01,13
2022-09-02,12
2022-09-03,14
2022-09-04,16
2022-09-05,17
2022-09-06,14
2022-09-07,14
2022-09-08,13
2022-09-09,12
2022-09-10,15
2022-09-11,16
2022-09-12,16
2022-09-13,15
2022-09-14,14
2022-09-15,15
2022-09-16,16
2022-09-17,18
2022-09-18,18
2022-09-19,17
2022-09-20,14
2022-09-21,14
2022-09-22,18
2022-09-23,21
2022-09-24,22
2022-09-25,25
2022-09-26,21
2022-09-27,20
2022-09-28,22
2022-09-29,22
2022-09-30,23
2022-10-01,27
2022-10-02,29
2022-10-03,25
2022-10-04,25
2022-10-05,24
2022-10-06,23
2022-10-07,22
2022-10-08,27
2022-10-09,31
2022-10-10,26
2022-10-11,24
2022-10-12,31
2022-10-13,27
2022-10-14,26
2022-10-15,30
2022-10-16,33
2022-10-17,30
2022-10-18,33
2022-10-19,35
2022-10-20,32
2022-10-21,29
2022-10-22,32
2022-10-23,33
2022-10-24,29
2022-10-25,26
2022-10-26,26
2022-10-27,27
2022-10-28,25
2022-10-29,28
2022-10-30,30
2022-10-31,23
2022-11-01,21
2022-11-02,26
2022-11-03,27
2022-11-04,28
2022-11-05,32
2022-11-06,34
2022-11-07,28
2022-11-08,27
2022-11-09,27
2022-11-10,29
2022-11-11,33
2022-11-12,45
2022-11-13,53
2022-11-14,42
2022-11-15,46
2022-11-16,47
2022-11-17,46
2022-11-18,54
2022-11-19,59
2022-11-20,62
2022-11-21,53
2022-11-22,44
2022-11-23,43
2022-11-24,45
2022-11-25,100
2022-11-26,70
2022-11-27,57
2022-11-28,61
2022-11-29,47
2022-11-30,41
2022-12-01,41
2022-12-02,43
2022-12-03,48
2022-12-04,51
2022-12-05,46
2022-12-06,43
2022-12-07,40
2022-12-08,42
2022-12-09,45
2022-12-10,52
2022-12-11,58
2022-12-12,47
2022-12-13,45
2022-12-14,46
2022-12-15,53
2022-12-16,49
2022-12-17,58
2022-12-18,52
2022-12-19,55
2022-12-20,51
2022-12-21,48
2022-12-22,48
2022-12-23,51
2022-12-24,50
2022-12-25,50
2022-12-26,54
2022-12-27,44
2022-12-28,39
2022-12-29,37
2022-12-30,38
2022-12-31,31
2023-01-01,27
2023-01-02,29
2023-01-03,25
2023-01-04,25
2023-01-05,23
2023-01-06,24
2023-01-07,29
2023-01-08,30
2023-01-09,24
2023-01-10,23
2023-01-11,21
2023-01-12,22
2023-01-13,22
2023-01-14,28
2023-01-15,28
2023-01-16,25
2023-01-17,22
2023-01-18,21
2023-01-19,21
2023-01-20,21
2023-01-21,25
2023-01-22,26
2023-01-23,24
2023-01-24,22
2023-01-25,21
2023-01-26,22
2023-01-27,22
2023-01-28,26
2023-01-29,27
2023-01-30,25
2023-01-31,23
2023-02-01,22
2023-02-02,24
2023-02-03,23
2023-02-04,27
2023-02-05,27
2023-02-06,20
2023-02-07,18
2023-02-08,20
2023-02-09,19
2023-02-10,18
2023-02-11,22
2023-02-12,20
2023-02-13,16
2023-02-14,16
2023-02-15,16
2023-02-16,17
2023-02-17,18
2023-02-18,21
2023-02-19,21
2023-02-20,19
2023-02-21,17
2023-02-22,16
2023-02-23,17
2023-02-24,18
2023-02-25,22
2023-02-26,21
2023-02-27,18
2023-02-28,17
2023-03-01,17
2023-03-02,16
2023-03-03,16
2023-03-04,20
2023-03-05,20
2023-03-06,17
2023-03-07,15
2023-03-08,16
2023-03-09,16
2023-03-10,17
2023-03-11,20
2023-03-12,19
2023-03-13,16
2023-03-14,17
2023-03-15,17
2023-03-16,15
2023-03-17,16
2023-03-18,19
2023-03-19,21
2023-03-20,17
2023-03-21,15
2023-03-22,15
2023-03-23,16
2023-03-24,14
2023-03-25,17
2023-03-26,18
2023-03-27,15
2023-03-28,14
2023-03-29,14
2023-03-30,14
2023-03-31,15
2023-04-01,18
2023-04-02,17
2023-04-03,15
2023-04-04,15
2023-04-05,14
2023-04-06,14
2023-04-07,14
2023-04-08,17
2023-04-09,15
2023-04-10,13
2023-04-11,15
2023-04-12,17
2023-04-13,15
2023-04-14,13
2023-04-15,15
2023-04-16,16
2023-04-17,12
2023-04-18,12
2023-04-19,12
2023-04-20,12
2023-04-21,12
2023-04-22,15
2023-04-23,16
2023-04-24,13
2023-04-25,12
2023-04-26,13
2023-04-27,12
2023-04-28,12
2023-04-29,14
2023-04-30,16
2023-05-01,12
2023-05-02,13
2023-05-03,12
2023-05-04,12
2023-05-05,11
2023-05-06,13
2023-05-07,13
2023-05-08,11
2023-05-09,11
2023-05-10,10
2023-05-11,9
2023-05-12,10
2023-05-13,12
2023-05-14,13
2023-05-15,12
2023-05-16,11
2023-05-17,10
2023-05-18,12
2023-05-19,11
2023-05-20,11
2023-05-21,13
2023-05-22,11
2023-05-23,11
2023-05-24,11
2023-05-25,11
