Time,presidential election
2023-12-22,10
2023-12-23,9
2023-12-24,9
2023-12-25,7
2023-12-26,9
2023-12-27,10
2023-12-28,10
2023-12-29,15
2023-12-30,9
2023-12-31,10
2024-01-01,14
2024-01-02,16
2024-01-03,16
2024-01-04,15
2024-01-05,16
2024-01-06,14
2024-01-07,13
2024-01-08,13
2024-01-09,16
2024-01-10,19
2024-01-11,20
2024-01-12,15
2024-01-13,16
2024-01-14,16
2024-01-15,19
2024-01-16,45
2024-01-17,27
2024-01-18,23
2024-01-19,19
2024-01-20,15
2024-01-21,23
2024-01-22,30
2024-01-23,28
2024-01-24,44
2024-01-25,24
2024-01-26,19
2024-01-27,15
2024-01-28,15
2024-01-29,17
2024-01-30,17
2024-01-31,16
2024-02-01,17
2024-02-02,16
2024-02-03,12
2024-02-04,17
2024-02-05,18
2024-02-06,19
2024-02-07,21
2024-02-08,21
2024-02-09,21
2024-02-10,14
2024-02-11,13
2024-02-12,18
2024-02-13,16
2024-02-14,15
2024-02-15,14
2024-02-16,15
2024-02-17,11
2024-02-18,13
2024-02-19,14
2024-02-20,17
2024-02-21,16
2024-02-22,15
2024-02-23,16
2024-02-24,15
2024-02-25,21
2024-02-26,21
2024-02-27,21
2024-02-28,23
2024-02-29,21
2024-03-01,17
2024-03-02,15
2024-03-03,17
2024-03-04,24
2024-03-05,43
2024-03-06,67
2024-03-07,37
2024-03-08,32
2024-03-09,16
2024-03-10,16
2024-03-11,16
2024-03-12,19
2024-03-13,28
2024-03-14,17
2024-03-15,15
2024-03-16,14
2024-03-17,16
2024-03-18,21
2024-03-19,21
2024-03-20,21
2024-03-21,15
2024-03-22,13
2024-03-23,11
2024-03-24,12
2024-03-25,15
2024-03-26,14
2024-03-27,15
2024-03-28,14
2024-03-29,10
2024-03-30,9
2024-03-31,10
2024-04-01,13
2024-04-02,16
2024-04-03,17
2024-04-04,15
2024-04-05,14
2024-04-06,9
2024-04-07,11
2024-04-08,15
2024-04-09,14
2024-04-10,16
2024-04-11,15
2024-04-12,14
2024-04-13,10
2024-04-14,13
2024-04-15,16
2024-04-16,15
2024-04-17,16
2024-04-18,16
2024-04-19,14
2024-04-20,10
2024-04-21,10
2024-04-22,16
2024-04-23,15
2024-04-24,17
2024-04-25,16
2024-04-26,14
2024-04-27,10
2024-04-28,11
2024-04-29,15
2024-04-30,15
2024-05-01,14
2024-05-02,16
2024-05-03,15
2024-05-04,11
2024-05-05,10
2024-05-06,15
2024-05-07,15
2024-05-08,15
2024-05-09,15
2024-05-10,13
2024-05-11,10
2024-05-12,11
2024-05-13,16
2024-05-14,15
2024-05-15,16
2024-05-16,15
2024-05-17,14
2024-05-18,10
2024-05-19,10
2024-05-20,15
2024-05-21,15
2024-05-22,14
2024-05-23,15
2024-05-24,13
2024-05-25,9
2024-05-26,9
2024-05-27,10
2024-05-28,13
2024-05-29,15
2024-05-30,23
2024-05-31,32
2024-06-01,21
2024-06-02,28
2024-06-03,43
2024-06-04,24
2024-06-05,17
2024-06-06,13
2024-06-07,13
2024-06-08,10
2024-06-09,12
2024-06-10,19
2024-06-11,14
2024-06-12,13
2024-06-13,13
2024-06-14,12
2024-06-15,12
2024-06-16,12
2024-06-17,14
2024-06-18,14
2024-06-19,13
2024-06-20,14
2024-06-21,13
2024-06-22,12
2024-06-23,13
2024-06-24,14
2024-06-25,14
2024-06-26,16
2024-06-27,24
2024-06-28,82
2024-06-29,34
2024-06-30,27
2024-07-01,26
2024-07-02,25
2024-07-03,25
2024-07-04,21
2024-07-05,22
2024-07-06,22
2024-07-07,19
2024-07-08,21
2024-07-09,20
2024-07-10,21
2024-07-11,18
2024-07-12,25
2024-07-13,21
2024-07-14,39
2024-07-15,36
2024-07-16,35
2024-07-17,31
2024-07-18,34
2024-07-19,41
2024-07-20,24
2024-07-21,100
2024-07-22,77
2024-07-23,61
2024-07-24,46
2024-07-25,46
2024-07-26,37
2024-07-27,33
2024-07-28,35
2024-07-29,42
2024-07-30,33
2024-07-31,32
2024-08-01,32
2024-08-02,31
2024-08-03,26
2024-08-04,25
2024-08-05,28
2024-08-06,40
2024-08-07,40
2024-08-08,36
2024-08-09,32
2024-08-10,29
2024-08-11,30
2024-08-12,30
2024-08-13,31
2024-08-14,31
2024-08-15,27
2024-08-16,26
2024-08-17,24
2024-08-18,27
2024-08-19,28
2024-08-20,38
2024-08-21,48
2024-08-22,43
2024-08-23,52
2024-08-24,38
2024-08-25,34
2024-08-26,39
2024-08-27,32
2024-08-28,31
2024-08-29,29
2024-08-30,30
2024-08-31,23
2024-09-01,26
2024-09-02,26
2024-09-03,31
2024-09-04,31
2024-09-05,32
2024-09-06,29
2024-09-07,25
2024-09-08,27
2024-09-09,33
2024-09-10,38
2024-09-11,98
2024-09-12,58
2024-09-13,46
2024-09-14,36
2024-09-15,36
2024-09-16,38
