Time,jamie_lee_curtis
2022-01-01,24.0
2022-01-02,19.0
2022-01-03,16.0
2022-01-04,16.0
2022-01-05,18.0
2022-01-06,9.0
2022-01-07,16.0
2022-01-08,16.0
2022-01-09,16.0
2022-01-10,13.0
2022-01-11,14.0
2022-01-12,14.0
2022-01-13,16.0
2022-01-14,10.0
2022-01-15,20.0
2022-01-16,22.0
2022-01-17,15.0
2022-01-18,10.0
2022-01-19,15.0
2022-01-20,15.0
2022-01-21,18.0
2022-01-22,20.0
2022-01-23,20.0
2022-01-24,20.0
2022-01-25,11.0
2022-01-26,15.0
2022-01-27,19.0
2022-01-28,21.0
2022-01-29,20.0
2022-01-30,23.0
2022-01-31,13.0
2022-02-01,9.0
2022-02-02,9.0
2022-02-03,12.0
2022-02-04,15.0
2022-02-05,19.0
2022-02-06,17.0
2022-02-07,13.0
2022-02-08,14.0
2022-02-09,10.0
2022-02-10,11.0
2022-02-11,15.0
2022-02-12,19.0
2022-02-13,18.0
2022-02-14,13.0
2022-02-15,13.0
2022-02-16,10.0
2022-02-17,11.0
2022-02-18,14.0
2022-02-19,21.0
2022-02-20,18.0
2022-02-21,12.0
2022-02-22,13.0
2022-02-23,17.0
2022-02-24,19.0
2022-02-25,17.0
2022-02-26,25.0
2022-02-27,22.0
2022-02-28,17.0
2022-03-01,14.0
2022-03-02,14.0
2022-03-03,17.0
2022-03-04,14.0
2022-03-05,21.0
2022-03-06,27.0
2022-03-07,15.0
2022-03-08,25.0
2022-03-09,17.0
2022-03-10,18.0
2022-03-11,43.0
2022-03-12,87.0
2022-03-13,100.0
2022-03-14,41.0
2022-03-15,29.0
2022-03-16,25.0
2022-03-17,15.0
2022-03-18,19.0
2022-03-19,24.0
2022-03-20,31.0
2022-03-21,19.0
2022-03-22,19.0
2022-03-23,74.0
2022-03-24,43.0
2022-03-25,30.0
2022-03-26,29.0
2022-03-27,50.0
2022-03-28,63.0
2022-03-29,38.0
2022-03-30,31.0
2022-03-31,28.0
2022-04-01,31.0
