Time,raiders
2023-04-26,2
2023-04-27,3
2023-04-28,10
2023-04-29,9
2023-04-30,5
2023-05-01,3
2023-05-02,3
2023-05-03,2
2023-05-04,3
2023-05-05,2
2023-05-06,3
2023-05-07,3
2023-05-08,2
2023-05-09,3
2023-05-10,3
2023-05-11,5
2023-05-12,8
2023-05-13,4
2023-05-14,3
2023-05-15,3
2023-05-16,3
2023-05-17,3
2023-05-18,3
2023-05-19,3
2023-05-20,3
2023-05-21,3
2023-05-22,3
2023-05-23,3
2023-05-24,3
2023-05-25,3
2023-05-26,3
2023-05-27,3
2023-05-28,3
2023-05-29,3
2023-05-30,3
2023-05-31,3
2023-06-01,3
2023-06-02,3
2023-06-03,3
2023-06-04,3
2023-06-05,3
2023-06-06,3
2023-06-07,3
2023-06-08,3
2023-06-09,3
2023-06-10,3
2023-06-11,3
2023-06-12,3
2023-06-13,3
2023-06-14,3
2023-06-15,3
2023-06-16,3
2023-06-17,3
2023-06-18,3
2023-06-19,3
2023-06-20,2
2023-06-21,2
2023-06-22,3
2023-06-23,2
2023-06-24,3
2023-06-25,4
2023-06-26,3
2023-06-27,3
2023-06-28,3
2023-06-29,3
2023-06-30,3
2023-07-01,5
2023-07-02,4
2023-07-03,3
2023-07-04,4
2023-07-05,3
2023-07-06,3
2023-07-07,3
2023-07-08,3
2023-07-09,3
2023-07-10,3
2023-07-11,3
2023-07-12,3
2023-07-13,3
2023-07-14,3
2023-07-15,3
2023-07-16,3
2023-07-17,3
2023-07-18,3
2023-07-19,3
2023-07-20,3
2023-07-21,3
2023-07-22,3
2023-07-23,4
2023-07-24,4
2023-07-25,4
2023-07-26,4
2023-07-27,4
2023-07-28,3
2023-07-29,3
2023-07-30,3
2023-07-31,3
2023-08-01,3
2023-08-02,3
2023-08-03,4
2023-08-04,4
2023-08-05,4
2023-08-06,4
2023-08-07,4
2023-08-08,4
2023-08-09,4
2023-08-10,4
2023-08-11,5
2023-08-12,7
2023-08-13,30
2023-08-14,11
2023-08-15,5
2023-08-16,5
2023-08-17,5
2023-08-18,5
2023-08-19,8
2023-08-20,20
2023-08-21,6
2023-08-22,5
2023-08-23,5
2023-08-24,5
2023-08-25,5
2023-08-26,11
2023-08-27,22
2023-08-28,6
2023-08-29,6
2023-08-30,5
2023-08-31,4
2023-09-01,5
2023-09-02,5
2023-09-03,6
2023-09-04,5
2023-09-05,5
2023-09-06,5
2023-09-07,5
2023-09-08,7
2023-09-09,6
2023-09-10,49
2023-09-11,18
2023-09-12,7
2023-09-13,5
2023-09-14,5
2023-09-15,6
2023-09-16,6
2023-09-17,37
2023-09-18,9
2023-09-19,6
2023-09-20,5
2023-09-21,5
2023-09-22,5
2023-09-23,6
2023-09-24,24
2023-09-25,58
2023-09-26,7
2023-09-27,5
2023-09-28,5
2023-09-29,5
2023-09-30,7
2023-10-01,40
2023-10-02,12
2023-10-03,6
2023-10-04,5
2023-10-05,5
2023-10-06,5
2023-10-07,5
2023-10-08,11
2023-10-09,25
2023-10-10,67
2023-10-11,6
2023-10-12,5
2023-10-13,5
2023-10-14,5
2023-10-15,42
2023-10-16,13
2023-10-17,6
2023-10-18,5
2023-10-19,5
2023-10-20,6
2023-10-21,6
2023-10-22,36
2023-10-23,8
2023-10-24,5
2023-10-25,4
2023-10-26,4
2023-10-27,4
2023-10-28,4
2023-10-29,10
2023-10-30,16
2023-10-31,44
2023-11-01,21
2023-11-02,11
2023-11-03,7
2023-11-04,7
2023-11-05,36
2023-11-06,25
2023-11-07,7
2023-11-08,5
2023-11-09,5
2023-11-10,5
2023-11-11,5
2023-11-12,16
2023-11-13,52
2023-11-14,7
2023-11-15,5
2023-11-16,6
2023-11-17,6
2023-11-18,6
2023-11-19,35
2023-11-20,8
2023-11-21,5
2023-11-22,4
2023-11-23,6
2023-11-24,6
2023-11-25,7
2023-11-26,38
2023-11-27,20
2023-11-28,5
2023-11-29,4
2023-11-30,4
2023-12-01,4
2023-12-02,4
2023-12-03,9
2023-12-04,6
2023-12-05,4
2023-12-06,4
2023-12-07,4
2023-12-08,4
2023-12-09,4
2023-12-10,30
2023-12-11,21
2023-12-12,5
2023-12-13,5
2023-12-14,12
2023-12-15,100
2023-12-16,10
2023-12-17,10
2023-12-18,7
2023-12-19,5
2023-12-20,5
2023-12-21,4
2023-12-22,5
2023-12-23,5
2023-12-24,11
2023-12-25,80
2023-12-26,22
2023-12-27,7
2023-12-28,6
2023-12-29,6
2023-12-30,6
2023-12-31,34
2024-01-01,9
2024-01-02,4
2024-01-03,4
2024-01-04,4
2024-01-05,4
2024-01-06,5
2024-01-07,24
2024-01-08,17
2024-01-09,5
2024-01-10,4
2024-01-11,4
2024-01-12,4
2024-01-13,4
2024-01-14,5
2024-01-15,5
2024-01-16,4
2024-01-17,4
2024-01-18,4
2024-01-19,5
2024-01-20,6
