Time,chilis
2022-01-01,97.0
2022-01-02,81.0
2022-01-03,57.0
2022-01-04,59.0
2022-01-05,52.0
2022-01-06,45.0
2022-01-07,62.0
2022-01-08,93.0
2022-01-09,82.0
2022-01-10,51.0
2022-01-11,47.0
2022-01-12,48.0
2022-01-13,49.0
2022-01-14,55.0
2022-01-15,91.0
2022-01-16,69.0
2022-01-17,56.0
2022-01-18,40.0
2022-01-19,45.0
2022-01-20,45.0
2022-01-21,60.0
2022-01-22,86.0
2022-01-23,79.0
2022-01-24,56.0
2022-01-25,39.0
2022-01-26,40.0
2022-01-27,49.0
2022-01-28,63.0
2022-01-29,90.0
2022-01-30,84.0
2022-01-31,48.0
2022-02-01,43.0
2022-02-02,45.0
2022-02-03,45.0
2022-02-04,64.0
2022-02-05,89.0
2022-02-06,85.0
2022-02-07,47.0
2022-02-08,45.0
2022-02-09,46.0
2022-02-10,41.0
2022-02-11,60.0
2022-02-12,92.0
2022-02-13,82.0
2022-02-14,64.0
2022-02-15,70.0
2022-02-16,48.0
2022-02-17,45.0
2022-02-18,60.0
2022-02-19,94.0
2022-02-20,91.0
2022-02-21,62.0
2022-02-22,59.0
2022-02-23,52.0
2022-02-24,50.0
2022-02-25,62.0
2022-02-26,97.0
2022-02-27,83.0
2022-02-28,52.0
2022-03-01,45.0
2022-03-02,48.0
2022-03-03,50.0
2022-03-04,62.0
2022-03-05,86.0
2022-03-06,91.0
2022-03-07,49.0
2022-03-08,44.0
2022-03-09,48.0
2022-03-10,49.0
2022-03-11,61.0
2022-03-12,80.0
2022-03-13,89.0
2022-03-14,55.0
2022-03-15,48.0
2022-03-16,50.0
2022-03-17,53.0
2022-03-18,64.0
2022-03-19,93.0
2022-03-20,85.0
2022-03-21,51.0
2022-03-22,46.0
2022-03-23,46.0
2022-03-24,49.0
2022-03-25,58.0
2022-03-26,78.0
2022-03-27,76.0
2022-03-28,40.0
2022-03-29,42.0
2022-03-30,44.0
2022-03-31,45.0
2022-04-01,58.0
2022-04-02,82.0
2022-04-03,83.0
2022-04-04,45.0
2022-04-05,39.0
2022-04-06,39.0
2022-04-07,45.0
2022-04-08,58.0
2022-04-09,76.0
2022-04-10,76.0
2022-04-11,44.0
2022-04-12,41.0
2022-04-13,43.0
2022-04-14,46.0
2022-04-15,64.0
2022-04-16,75.0
2022-04-17,83.0
2022-04-18,45.0
2022-04-19,39.0
2022-04-20,42.0
2022-04-21,45.0
2022-04-22,60.0
2022-04-23,81.0
2022-04-24,74.0
2022-04-25,46.0
2022-04-26,38.0
2022-04-27,41.0
2022-04-28,43.0
2022-04-29,57.0
2022-04-30,73.0
2022-05-01,76.0
2022-05-02,44.0
2022-05-03,38.0
2022-05-04,40.0
2022-05-05,55.0
2022-05-06,60.0
2022-05-07,80.0
2022-05-08,100.0
2022-05-09,48.0
2022-05-10,42.0
2022-05-11,40.0
2022-05-12,45.0
2022-05-13,53.0
2022-05-14,77.0
2022-05-15,74.0
2022-05-16,41.0
2022-05-17,41.0
2022-05-18,41.0
2022-05-19,42.0
2022-05-20,56.0
2022-05-21,77.0
2022-05-22,68.0
2022-05-23,43.0
2022-05-24,43.0
2022-05-25,42.0
2022-05-26,45.0
2022-05-27,59.0
2022-05-28,72.0
2022-05-29,72.0
2022-05-30,66.0
2022-05-31,43.0
2022-06-01,42.0
2022-06-02,46.0
2022-06-03,57.0
2022-06-04,70.0
2022-06-05,69.0
2022-06-06,46.0
2022-06-07,46.0
2022-06-08,44.0
2022-06-09,47.0
2022-06-10,61.0
2022-06-11,68.0
2022-06-12,69.0
2022-06-13,46.0
2022-06-14,45.0
2022-06-15,44.0
2022-06-16,47.0
2022-06-17,56.0
2022-06-18,71.0
2022-06-19,84.0
2022-06-20,50.0
2022-06-21,42.0
2022-06-22,44.0
2022-06-23,47.0
2022-06-24,54.0
2022-06-25,66.0
2022-06-26,63.0
2022-06-27,44.0
2022-06-28,42.0
2022-06-29,42.0
2022-06-30,47.0
2022-07-01,57.0
2022-07-02,62.0
2022-07-03,63.0
2022-07-04,74.0
2022-07-05,44.0
2022-07-06,38.0
2022-07-07,44.0
2022-07-08,51.0
2022-07-09,65.0
2022-07-10,65.0
2022-07-11,44.0
2022-07-12,37.0
2022-07-13,40.0
2022-07-14,46.0
2022-07-15,54.0
2022-07-16,63.0
2022-07-17,66.0
2022-07-18,45.0
2022-07-19,43.0
2022-07-20,46.0
2022-07-21,46.0
2022-07-22,55.0
2022-07-23,64.0
2022-07-24,65.0
2022-07-25,47.0
2022-07-26,38.0
2022-07-27,39.0
2022-07-28,44.0
2022-07-29,51.0
2022-07-30,63.0
2022-07-31,64.0
2022-08-01,46.0
2022-08-02,45.0
2022-08-03,43.0
2022-08-04,46.0
2022-08-05,51.0
2022-08-06,67.0
2022-08-07,65.0
2022-08-08,42.0
2022-08-09,37.0
2022-08-10,41.0
2022-08-11,43.0
2022-08-12,49.0
2022-08-13,65.0
2022-08-14,65.0
2022-08-15,41.0
2022-08-16,37.0
2022-08-17,42.0
2022-08-18,43.0
2022-08-19,49.0
2022-08-20,68.0
2022-08-21,62.0
2022-08-22,39.0
2022-08-23,35.0
2022-08-24,37.0
2022-08-25,38.0
2022-08-26,49.0
2022-08-27,67.0
2022-08-28,63.0
2022-08-29,37.5
2022-08-30,33.5
2022-08-31,35.5
2022-09-01,43.5
2022-09-02,48.5
2022-09-03,59.5
2022-09-04,68.0
2022-09-05,69.5
