Time,jenna_ortega
2022-01-01,9.0
2022-01-02,10.0
2022-01-03,7.0
2022-01-04,8.0
2022-01-05,5.0
2022-01-06,6.0
2022-01-07,5.0
2022-01-08,8.0
2022-01-09,8.0
2022-01-10,7.0
2022-01-11,11.0
2022-01-12,20.0
2022-01-13,13.0
2022-01-14,17.0
2022-01-15,30.0
2022-01-16,22.0
2022-01-17,19.0
2022-01-18,21.0
2022-01-19,21.0
2022-01-20,18.0
2022-01-21,18.0
2022-01-22,27.0
2022-01-23,25.0
2022-01-24,27.0
2022-01-25,15.0
2022-01-26,17.0
2022-01-27,29.0
2022-01-28,66.0
2022-01-29,76.0
2022-01-30,74.0
2022-01-31,43.0
2022-02-01,31.0
2022-02-02,28.0
2022-02-03,27.0
2022-02-04,23.0
2022-02-05,29.0
2022-02-06,28.0
2022-02-07,23.0
2022-02-08,15.0
2022-02-09,20.0
2022-02-10,13.0
2022-02-11,14.0
2022-02-12,19.0
2022-02-13,16.0
2022-02-14,11.0
2022-02-15,13.0
2022-02-16,14.0
2022-02-17,14.0
2022-02-18,12.0
2022-02-19,17.0
2022-02-20,17.0
2022-02-21,15.0
2022-02-22,14.0
2022-02-23,12.0
2022-02-24,11.0
2022-02-25,13.0
2022-02-26,14.0
2022-02-27,17.0
2022-02-28,12.0
2022-03-01,13.0
2022-03-02,13.0
2022-03-03,13.0
2022-03-04,10.0
2022-03-05,17.0
2022-03-06,18.0
2022-03-07,13.0
2022-03-08,12.0
2022-03-09,14.0
2022-03-10,16.0
2022-03-11,17.0
2022-03-12,20.0
2022-03-13,23.0
2022-03-14,20.0
2022-03-15,20.0
2022-03-16,25.0
2022-03-17,25.0
2022-03-18,31.0
2022-03-19,43.0
2022-03-20,42.0
2022-03-21,27.0
2022-03-22,29.0
2022-03-23,22.0
2022-03-24,20.0
2022-03-25,16.0
2022-03-26,22.0
2022-03-27,26.0
2022-03-28,15.0
2022-03-29,15.0
2022-03-30,13.0
2022-03-31,12.0
2022-04-01,12.0
2022-04-02,16.0
2022-04-03,17.0
2022-04-04,13.0
2022-04-05,12.0
2022-04-06,11.0
2022-04-07,11.0
2022-04-08,10.0
2022-04-09,12.0
2022-04-10,14.0
2022-04-11,13.0
2022-04-12,10.0
2022-04-13,10.0
2022-04-14,16.0
2022-04-15,19.0
2022-04-16,21.0
2022-04-17,21.0
2022-04-18,17.0
2022-04-19,13.0
2022-04-20,13.0
2022-04-21,13.0
2022-04-22,14.0
2022-04-23,17.0
2022-04-24,13.0
2022-04-25,12.0
2022-04-26,12.0
2022-04-27,12.0
2022-04-28,9.0
2022-04-29,12.0
2022-04-30,14.0
2022-05-01,13.0
2022-05-02,12.0
2022-05-03,17.0
2022-05-04,16.0
2022-05-05,12.0
2022-05-06,10.0
2022-05-07,12.0
2022-05-08,27.0
2022-05-09,16.0
2022-05-10,12.0
2022-05-11,11.0
2022-05-12,9.0
2022-05-13,10.0
2022-05-14,10.0
2022-05-15,12.0
2022-05-16,11.0
2022-05-17,11.0
2022-05-18,10.0
2022-05-19,9.0
2022-05-20,10.0
2022-05-21,11.0
2022-05-22,13.0
2022-05-23,10.0
2022-05-24,11.0
2022-05-25,10.0
2022-05-26,16.0
2022-05-27,16.0
2022-05-28,20.0
2022-05-29,18.0
2022-05-30,15.0
2022-05-31,11.0
2022-06-01,14.0
2022-06-02,16.0
2022-06-03,13.0
2022-06-04,14.0
2022-06-05,14.0
2022-06-06,78.0
2022-06-07,74.0
2022-06-08,28.0
2022-06-09,19.0
2022-06-10,16.0
2022-06-11,17.0
2022-06-12,21.0
2022-06-13,17.0
2022-06-14,14.0
2022-06-15,14.0
2022-06-16,14.0
2022-06-17,12.0
2022-06-18,15.0
2022-06-19,15.0
2022-06-20,14.0
2022-06-21,13.0
2022-06-22,10.0
