Time,value
2022-01-01,66
2022-01-02,69
2022-01-03,75
2022-01-04,91
2022-01-05,85
2022-01-06,68
2022-01-07,74
2022-01-08,83
2022-01-09,78
2022-01-10,82
2022-01-11,81
2022-01-12,84
2022-01-13,100
2022-01-14,77
2022-01-15,79
2022-01-16,70
2022-01-17,71
2022-01-18,74
2022-01-19,78
2022-01-20,78
2022-01-21,78
2022-01-22,83
2022-01-23,76
2022-01-24,93
2022-01-25,70
2022-01-26,82
2022-01-27,78
2022-01-28,86
2022-01-29,78
2022-01-30,78
2022-01-31,82
2022-02-01,77
2022-02-02,81
2022-02-03,75
2022-02-04,80
2022-02-05,77
2022-02-06,75
2022-02-07,73
2022-02-08,81
2022-02-09,72
2022-02-10,66
2022-02-11,80
2022-02-12,81
2022-02-13,76
2022-02-14,81
2022-02-15,76
2022-02-16,75
2022-02-17,73
2022-02-18,74
2022-02-19,74
2022-02-20,72
2022-02-21,71
2022-02-22,79
2022-02-23,79
2022-02-24,75
2022-02-25,79
2022-02-26,71
2022-02-27,67
2022-02-28,71
2022-03-01,73
2022-03-02,74
2022-03-03,76
2022-03-04,74
2022-03-05,72
2022-03-06,65
2022-03-07,67
2022-03-08,69
2022-03-09,75
2022-03-10,75
2022-03-11,74
2022-03-12,70
2022-03-13,70
2022-03-14,68
2022-03-15,79
2022-03-16,74
2022-03-17,71
2022-03-18,72
2022-03-19,68
2022-03-20,72
2022-03-21,68
2022-03-22,72
2022-03-23,69
2022-03-24,76
2022-03-25,66
2022-03-26,66
2022-03-27,63
2022-03-28,60
2022-03-29,68
2022-03-30,68
2022-03-31,68
2022-04-01,61
2022-04-02,73
2022-04-03,68
2022-04-04,63
2022-04-05,66
2022-04-06,60
2022-04-07,62
2022-04-08,65
2022-04-09,72
2022-04-10,66
2022-04-11,63
2022-04-12,62
2022-04-13,64
2022-04-14,62
2022-04-15,65
2022-04-16,61
2022-04-17,61
2022-04-18,63
2022-04-19,61
2022-04-20,64
2022-04-21,64
2022-04-22,65
2022-04-23,72
2022-04-24,62
2022-04-25,60
2022-04-26,57
2022-04-27,61
2022-04-28,59
2022-04-29,67
2022-04-30,74
2022-05-01,67
2022-05-02,59
2022-05-03,58
2022-05-04,58
2022-05-05,64
2022-05-06,71
2022-05-07,65
2022-05-08,60
2022-05-09,60
2022-05-10,63
2022-05-11,61
2022-05-12,60
2022-05-13,59
2022-05-14,61
2022-05-15,59
2022-05-16,60
2022-05-17,59
2022-05-18,60
2022-05-19,58
2022-05-20,63
2022-05-21,59
2022-05-22,60
2022-05-23,60
2022-05-24,60
2022-05-25,58
2022-05-26,60
2022-05-27,62
2022-05-28,57
2022-05-29,56
2022-05-30,58
2022-05-31,60
2022-06-01,61
2022-06-02,61
2022-06-03,59
2022-06-04,61
2022-06-05,62
2022-06-06,60
2022-06-07,72
2022-06-08,66
2022-06-09,72
2022-06-10,60
2022-06-11,61
2022-06-12,60
2022-06-13,60
2022-06-14,61
2022-06-15,68
2022-06-16,66
2022-06-17,66
2022-06-18,59
2022-06-19,65
2022-06-20,60
2022-06-21,66
2022-06-22,64
2022-06-23,67
2022-06-24,61
2022-06-25,62
2022-06-26,59
2022-06-27,62
2022-06-28,62
2022-06-29,68
2022-06-30,62
2022-07-01,60
2022-07-02,61
2022-07-03,59
2022-07-04,56
2022-07-05,60
2022-07-06,64
2022-07-07,62
2022-07-08,63
2022-07-09,62
2022-07-10,61
2022-07-11,62
2022-07-12,64
2022-07-13,62
2022-07-14,64
2022-07-15,67
2022-07-16,64
2022-07-17,63
2022-07-18,71
2022-07-19,72
2022-07-20,68
2022-07-21,66
2022-07-22,67
2022-07-23,65
2022-07-24,64
2022-07-25,65
2022-07-26,65
2022-07-27,65
2022-07-28,65
2022-07-29,72
2022-07-30,60
2022-07-31,64
2022-08-01,69
2022-08-02,64
2022-08-03,66
2022-08-04,66
2022-08-05,69
2022-08-06,62
2022-08-07,64
2022-08-08,69
2022-08-09,65
2022-08-10,69
2022-08-11,80
2022-08-12,66
2022-08-13,66
2022-08-14,68
2022-08-15,66
2022-08-16,70
2022-08-17,73
2022-08-18,72
2022-08-19,69
2022-08-20,67
2022-08-21,65
2022-08-22,66
2022-08-23,67
2022-08-24,71
2022-08-25,69
2022-08-26,64
2022-08-27,66
2022-08-28,62
2022-08-29,62
2022-08-30,73
2022-08-31,68
2022-09-01,71
2022-09-02,64
2022-09-03,62
2022-09-04,62
2022-09-05,61
2022-09-06,63
2022-09-07,62
2022-09-08,59
2022-09-09,64
2022-09-10,62
2022-09-11,61
2022-09-12,64
2022-09-13,66
2022-09-14,66
2022-09-15,66
2022-09-16,67
2022-09-17,63
2022-09-18,60
2022-09-19,66
2022-09-20,63
2022-09-21,66
2022-09-22,65
2022-09-23,60
2022-09-24,62
2022-09-25,62
2022-09-26,62
