Time,tesla stock
2022-01-01,13
2022-01-02,15
2022-01-03,73
2022-01-04,79
2022-01-05,61
2022-01-06,54
2022-01-07,50
2022-01-08,18
2022-01-09,11
2022-01-10,48
2022-01-11,50
2022-01-12,44
2022-01-13,55
2022-01-14,40
2022-01-15,13
2022-01-16,9
2022-01-17,17
2022-01-18,39
2022-01-19,38
2022-01-20,45
2022-01-21,49
2022-01-22,21
2022-01-23,13
2022-01-24,87
2022-01-25,53
2022-01-26,62
2022-01-27,75
2022-01-28,76
2022-01-29,25
2022-01-30,13
2022-01-31,55
2022-02-01,55
2022-02-02,49
2022-02-03,56
2022-02-04,48
2022-02-05,16
2022-02-06,11
2022-02-07,44
2022-02-08,48
2022-02-09,41
2022-02-10,38
2022-02-11,46
2022-02-12,15
2022-02-13,10
2022-02-14,51
2022-02-15,44
2022-02-16,44
2022-02-17,40
2022-02-18,44
2022-02-19,14
2022-02-20,9
2022-02-21,17
2022-02-22,47
2022-02-23,47
2022-02-24,74
2022-02-25,48
2022-02-26,15
2022-02-27,10
2022-02-28,49
2022-03-01,49
2022-03-02,42
2022-03-03,39
2022-03-04,41
2022-03-05,14
2022-03-06,11
2022-03-07,44
2022-03-08,46
2022-03-09,43
2022-03-10,45
2022-03-11,42
2022-03-12,16
2022-03-13,11
2022-03-14,45
2022-03-15,43
2022-03-16,47
2022-03-17,41
2022-03-18,44
2022-03-19,15
2022-03-20,10
2022-03-21,43
2022-03-22,47
2022-03-23,52
2022-03-24,47
2022-03-25,42
2022-03-26,15
2022-03-27,11
2022-03-28,85
2022-03-29,78
2022-03-30,60
2022-03-31,42
2022-04-01,43
2022-04-02,21
2022-04-03,16
2022-04-04,61
2022-04-05,47
2022-04-06,43
2022-04-07,42
2022-04-08,45
2022-04-09,17
2022-04-10,12
2022-04-11,47
2022-04-12,43
2022-04-13,42
2022-04-14,46
2022-04-15,29
2022-04-16,13
2022-04-17,11
2022-04-18,38
2022-04-19,40
2022-04-20,69
2022-04-21,90
2022-04-22,48
2022-04-23,21
2022-04-24,15
2022-04-25,54
2022-04-26,79
2022-04-27,98
2022-04-28,81
2022-04-29,73
2022-04-30,28
2022-05-01,17
2022-05-02,50
2022-05-03,42
2022-05-04,43
2022-05-05,52
2022-05-06,49
2022-05-07,17
2022-05-08,12
2022-05-09,57
2022-05-10,60
2022-05-11,69
2022-05-12,68
2022-05-13,61
2022-05-14,22
2022-05-15,14
2022-05-16,49
2022-05-17,51
2022-05-18,60
2022-05-19,66
2022-05-20,86
2022-05-21,36
2022-05-22,20
2022-05-23,57
2022-05-24,67
2022-05-25,60
2022-05-26,54
2022-05-27,53
2022-05-28,20
2022-05-29,12
2022-05-30,16
2022-05-31,49
2022-06-01,47
2022-06-02,48
2022-06-03,60
2022-06-04,31
2022-06-05,13
2022-06-06,49
2022-06-07,46
2022-06-08,44
2022-06-09,45
2022-06-10,56
2022-06-11,24
2022-06-12,15
2022-06-13,59
2022-06-14,56
2022-06-15,50
2022-06-16,60
2022-06-17,47
2022-06-18,19
2022-06-19,12
2022-06-20,25
2022-06-21,53
2022-06-22,46
2022-06-23,48
2022-06-24,46
2022-06-25,15
2022-06-26,11
2022-06-27,40
2022-06-28,43
2022-06-29,42
2022-06-30,40
2022-07-01,38
2022-07-02,15
2022-07-03,11
2022-07-04,11
2022-07-05,47
2022-07-06,37
2022-07-07,42
2022-07-08,48
2022-07-09,20
2022-07-10,11
2022-07-11,43
2022-07-12,41
2022-07-13,40
2022-07-14,40
2022-07-15,38
2022-07-16,11
2022-07-17,8
2022-07-18,38
2022-07-19,40
2022-07-20,52
2022-07-21,58
2022-07-22,51
2022-07-23,13
2022-07-24,11
2022-07-25,40
2022-07-26,40
2022-07-27,41
2022-07-28,43
2022-07-29,48
2022-07-30,16
2022-07-31,10
2022-08-01,46
2022-08-02,46
2022-08-03,50
2022-08-04,65
2022-08-05,62
2022-08-06,20
2022-08-07,15
2022-08-08,51
2022-08-09,45
2022-08-10,58
2022-08-11,49
2022-08-12,48
2022-08-13,17
2022-08-14,12
2022-08-15,48
2022-08-16,50
2022-08-17,48
2022-08-18,44
2022-08-19,42
2022-08-20,13
2022-08-21,10
2022-08-22,44
2022-08-23,47
2022-08-24,61
2022-08-25,100
2022-08-26,65
2022-08-27,24
2022-08-28,15
2022-08-29,46
2022-08-30,45
2022-08-31,44
2022-09-01,43
2022-09-02,39
2022-09-03,13
2022-09-04,8
2022-09-05,12
2022-09-06,38
2022-09-07,41
2022-09-08,39
2022-09-09,41
2022-09-10,14
2022-09-11,10
2022-09-12,39
2022-09-13,43
2022-09-14,44
2022-09-15,43
2022-09-16,38
2022-09-17,12
2022-09-18,9
2022-09-19,37
2022-09-20,41
2022-09-21,43
2022-09-22,41
2022-09-23,40
2022-09-24,15
2022-09-25,11
2022-09-26,39
2022-09-27,37
