Time,batman
2022-08-29,33
2022-08-30,30
2022-08-31,30
2022-09-01,31
2022-09-02,31
2022-09-03,35
2022-09-04,39
2022-09-05,41
2022-09-06,29
2022-09-07,30
2022-09-08,30
2022-09-09,29
2022-09-10,35
2022-09-11,37
2022-09-12,29
2022-09-13,29
2022-09-14,31
2022-09-15,33
2022-09-16,34
2022-09-17,47
2022-09-18,51
2022-09-19,33
2022-09-20,34
2022-09-21,31
2022-09-22,30
2022-09-23,30
2022-09-24,35
2022-09-25,39
2022-09-26,27
2022-09-27,28
2022-09-28,27
2022-09-29,29
2022-09-30,30
2022-10-01,35
2022-10-02,36
2022-10-03,31
2022-10-04,32
2022-10-05,30
2022-10-06,31
2022-10-07,31
2022-10-08,37
2022-10-09,38
2022-10-10,32
2022-10-11,31
2022-10-12,29
2022-10-13,32
2022-10-14,30
2022-10-15,36
2022-10-16,38
2022-10-17,34
2022-10-18,33
2022-10-19,35
2022-10-20,36
2022-10-21,37
2022-10-22,49
2022-10-23,50
2022-10-24,42
2022-10-25,37
2022-10-26,38
2022-10-27,38
2022-10-28,39
2022-10-29,52
2022-10-30,57
2022-10-31,54
2022-11-01,40
2022-11-02,31
2022-11-03,31
2022-11-04,31
2022-11-05,36
2022-11-06,34
2022-11-07,30
2022-11-08,29
2022-11-09,26
2022-11-10,29
2022-11-11,68
2022-11-12,74
2022-11-13,59
2022-11-14,38
2022-11-15,35
2022-11-16,32
2022-11-17,34
2022-11-18,32
2022-11-19,39
2022-11-20,38
2022-11-21,29
2022-11-22,32
2022-11-23,32
2022-11-24,36
2022-11-25,38
2022-11-26,36
2022-11-27,39
2022-11-28,29
2022-11-29,29
2022-11-30,30
2022-12-01,29
2022-12-02,29
2022-12-03,33
2022-12-04,35
2022-12-05,28
2022-12-06,27
2022-12-07,30
2022-12-08,30
2022-12-09,32
2022-12-10,38
2022-12-11,40
2022-12-12,32
2022-12-13,30
2022-12-14,31
2022-12-15,35
2022-12-16,34
2022-12-17,38
2022-12-18,39
2022-12-19,35
2022-12-20,33
2022-12-21,35
2022-12-22,35
2022-12-23,37
2022-12-24,40
2022-12-25,46
2022-12-26,40
2022-12-27,37
2022-12-28,36
2022-12-29,37
2022-12-30,35
2022-12-31,36
2023-01-01,43
2023-01-02,38
2023-01-03,30
2023-01-04,30
2023-01-05,31
2023-01-06,33
2023-01-07,37
2023-01-08,40
2023-01-09,30
2023-01-10,31
2023-01-11,31
2023-01-12,28
2023-01-13,33
2023-01-14,36
2023-01-15,36
2023-01-16,34
2023-01-17,30
2023-01-18,27
2023-01-19,29
2023-01-20,30
2023-01-21,36
2023-01-22,37
2023-01-23,29
2023-01-24,30
2023-01-25,30
2023-01-26,29
2023-01-27,31
2023-01-28,35
2023-01-29,34
2023-01-30,29
2023-01-31,36
2023-02-01,35
2023-02-02,32
2023-02-03,30
2023-02-04,39
2023-02-05,38
2023-02-06,30
2023-02-07,29
2023-02-08,29
2023-02-09,29
2023-02-10,34
2023-02-11,39
2023-02-12,39
2023-02-13,100
2023-02-14,40
2023-02-15,35
2023-02-16,34
2023-02-17,36
2023-02-18,40
2023-02-19,40
2023-02-20,34
2023-02-21,33
2023-02-22,30
2023-02-23,29
2023-02-24,32
2023-02-25,36
2023-02-26,37
2023-02-27,31
2023-02-28,29
2023-03-01,28
2023-03-02,28
2023-03-03,30
2023-03-04,37
2023-03-05,40
2023-03-06,30
2023-03-07,31
2023-03-08,33
2023-03-09,32
2023-03-10,32
2023-03-11,36
2023-03-12,43
2023-03-13,36
2023-03-14,32
2023-03-15,32
2023-03-16,31
2023-03-17,32
2023-03-18,34
2023-03-19,39
2023-03-20,33
2023-03-21,28
2023-03-22,27
2023-03-23,30
2023-03-24,33
2023-03-25,35
2023-03-26,38
2023-03-27,28
2023-03-28,29
2023-03-29,29
2023-03-30,31
2023-03-31,30
2023-04-01,39
2023-04-02,38
2023-04-03,30
2023-04-04,29
2023-04-05,30
2023-04-06,30
2023-04-07,32
2023-04-08,37
2023-04-09,40
2023-04-10,30
2023-04-11,29
2023-04-12,33
2023-04-13,33
2023-04-14,32
2023-04-15,39
2023-04-16,42
2023-04-17,32
2023-04-18,29
2023-04-19,30
2023-04-20,30
2023-04-21,32
2023-04-22,37
2023-04-23,42
2023-04-24,31
2023-04-25,32
2023-04-26,36
2023-04-27,39
2023-04-28,34
2023-04-29,40
2023-04-30,42
2023-05-01,30
2023-05-02,33
2023-05-03,31
2023-05-04,32
2023-05-05,31
2023-05-06,36
2023-05-07,39
2023-05-08,32
2023-05-09,32
2023-05-10,33
2023-05-11,31
2023-05-12,31
2023-05-13,35
2023-05-14,40
2023-05-15,33
2023-05-16,30
2023-05-17,31
2023-05-18,30
2023-05-19,30
2023-05-20,37
2023-05-21,36
2023-05-22,30
2023-05-23,30
2023-05-24,33
2023-05-25,33
