Time,simone_biles
2022-01-01,6.0
2022-01-02,5.0
2022-01-03,7.0
2022-01-04,5.0
2022-01-05,5.0
2022-01-06,4.0
2022-01-07,5.0
2022-01-08,5.0
2022-01-09,5.0
2022-01-10,4.0
2022-01-11,5.0
2022-01-12,4.0
2022-01-13,5.0
2022-01-14,4.0
2022-01-15,5.0
2022-01-16,5.0
2022-01-17,4.0
2022-01-18,3.0
2022-01-19,4.0
2022-01-20,5.0
2022-01-21,5.0
2022-01-22,5.0
2022-01-23,6.0
2022-01-24,6.0
2022-01-25,5.0
2022-01-26,5.0
2022-01-27,5.0
2022-01-28,5.0
2022-01-29,7.0
2022-01-30,7.0
2022-01-31,6.0
2022-02-01,6.0
2022-02-02,6.0
2022-02-03,6.0
2022-02-04,9.0
2022-02-05,13.0
2022-02-06,13.0
2022-02-07,11.0
2022-02-08,10.0
2022-02-09,14.0
2022-02-10,10.0
2022-02-11,12.0
2022-02-12,10.0
2022-02-13,11.0
2022-02-14,11.0
2022-02-15,96.0
2022-02-16,100.0
2022-02-17,34.0
2022-02-18,40.0
2022-02-19,24.0
2022-02-20,19.0
2022-02-21,16.0
2022-02-22,15.0
2022-02-23,12.0
2022-02-24,10.0
2022-02-25,11.0
2022-02-26,14.0
2022-02-27,10.0
2022-02-28,8.0
2022-03-01,8.0
2022-03-02,7.0
2022-03-03,7.0
2022-03-04,7.0
2022-03-05,7.0
2022-03-06,8.0
2022-03-07,8.0
2022-03-08,9.0
2022-03-09,10.0
2022-03-10,9.0
2022-03-11,7.0
2022-03-12,6.0
2022-03-13,5.0
2022-03-14,8.0
2022-03-15,9.0
2022-03-16,8.0
2022-03-17,8.0
2022-03-18,9.0
2022-03-19,10.0
2022-03-20,13.0
2022-03-21,8.0
2022-03-22,5.0
2022-03-23,7.0
2022-03-24,6.0
2022-03-25,10.0
2022-03-26,7.0
2022-03-27,11.0
2022-03-28,8.0
2022-03-29,7.0
2022-03-30,5.0
2022-03-31,6.0
2022-04-01,7.0
2022-04-02,7.0
2022-04-03,10.0
2022-04-04,6.0
2022-04-05,11.0
2022-04-06,9.0
2022-04-07,6.0
2022-04-08,6.0
2022-04-09,5.0
2022-04-10,5.0
2022-04-11,7.0
2022-04-12,5.0
2022-04-13,5.0
2022-04-14,7.0
2022-04-15,6.0
2022-04-16,6.0
2022-04-17,6.0
2022-04-18,6.0
2022-04-19,7.0
2022-04-20,9.0
2022-04-21,9.0
2022-04-22,7.0
2022-04-23,9.0
2022-04-24,8.0
2022-04-25,6.0
2022-04-26,6.0
2022-04-27,7.0
2022-04-28,7.0
