Time,minecraft_movie
2022-01-01,4.0
2022-01-02,7.0
2022-01-03,5.0
2022-01-04,4.0
2022-01-05,6.0
2022-01-06,8.0
2022-01-07,4.0
2022-01-08,8.0
2022-01-09,5.0
2022-01-10,6.0
2022-01-11,5.0
2022-01-12,6.0
2022-01-13,5.0
2022-01-14,4.0
2022-01-15,6.0
2022-01-16,5.0
2022-01-17,5.0
2022-01-18,3.0
2022-01-19,5.0
2022-01-20,4.0
2022-01-21,6.0
2022-01-22,7.0
2022-01-23,5.0
2022-01-24,4.0
2022-01-25,3.0
2022-01-26,4.0
2022-01-27,2.0
2022-01-28,4.0
2022-01-29,4.0
2022-01-30,6.0
2022-01-31,6.0
2022-02-01,2.0
2022-02-02,4.0
2022-02-03,5.0
2022-02-04,5.0
2022-02-05,5.0
2022-02-06,7.0
2022-02-07,6.0
2022-02-08,6.0
2022-02-09,2.0
2022-02-10,3.0
2022-02-11,4.0
2022-02-12,6.0
2022-02-13,5.0
2022-02-14,4.0
2022-02-15,3.0
2022-02-16,4.0
2022-02-17,7.0
2022-02-18,5.0
2022-02-19,8.0
2022-02-20,7.0
2022-02-21,5.0
2022-02-22,4.0
2022-02-23,4.0
2022-02-24,5.0
2022-02-25,5.0
2022-02-26,6.0
2022-02-27,6.0
2022-02-28,6.0
2022-03-01,7.0
2022-03-02,7.0
2022-03-03,68.0
2022-03-04,100.0
2022-03-05,87.0
2022-03-06,36.0
2022-03-07,18.0
2022-03-08,12.0
2022-03-09,11.0
2022-03-10,12.0
2022-03-11,11.0
2022-03-12,11.0
2022-03-13,9.0
2022-03-14,6.0
2022-03-15,5.0
2022-03-16,6.0
2022-03-17,8.0
2022-03-18,7.0
2022-03-19,8.0
2022-03-20,9.0
2022-03-21,4.0
2022-03-22,6.0
2022-03-23,5.0
2022-03-24,4.0
2022-03-25,6.0
2022-03-26,9.0
2022-03-27,6.0
2022-03-28,6.0
2022-03-29,6.0
2022-03-30,5.0
2022-03-31,6.0
2022-04-01,8.0
2022-04-02,6.0
2022-04-03,7.0
2022-04-04,7.0
2022-04-05,5.0
2022-04-06,5.0
2022-04-07,7.0
2022-04-08,7.0
2022-04-09,5.0
2022-04-10,6.0
2022-04-11,5.0
2022-04-12,5.0
2022-04-13,4.0
2022-04-14,6.0
2022-04-15,5.0
2022-04-16,6.0
2022-04-17,6.0
2022-04-18,15.0
2022-04-19,42.0
2022-04-20,23.0
2022-04-21,16.0
2022-04-22,12.0
2022-04-23,12.0
2022-04-24,11.0
2022-04-25,11.0
2022-04-26,8.0
2022-04-27,8.0
2022-04-28,7.0
2022-04-29,5.0
2022-04-30,9.0
2022-05-01,8.0
2022-05-02,8.0
2022-05-03,7.0
2022-05-04,6.0
2022-05-05,5.0
2022-05-06,6.0
2022-05-07,6.0
2022-05-08,6.0
2022-05-09,5.0
2022-05-10,6.0
2022-05-11,7.0
2022-05-12,6.0
2022-05-13,5.0
2022-05-14,7.0
2022-05-15,6.0
2022-05-16,5.0
2022-05-17,5.0
2022-05-18,6.0
2022-05-19,5.0
2022-05-20,5.0
2022-05-21,6.0
2022-05-22,6.0
2022-05-23,6.0
2022-05-24,6.0
2022-05-25,5.0
2022-05-26,4.0
2022-05-27,5.0
2022-05-28,6.0
2022-05-29,7.0
2022-05-30,5.0
2022-05-31,4.0
2022-06-01,5.0
2022-06-02,4.0
2022-06-03,5.0
2022-06-04,6.0
2022-06-05,6.0
2022-06-06,5.0
2022-06-07,6.0
2022-06-08,6.0
2022-06-09,6.0
2022-06-10,7.0
2022-06-11,8.0
2022-06-12,7.0
2022-06-13,7.0
2022-06-14,6.0
2022-06-15,5.0
2022-06-16,6.0
2022-06-17,5.0
2022-06-18,6.0
2022-06-19,5.0
2022-06-20,5.0
2022-06-21,5.0
2022-06-22,7.0
2022-06-23,5.0
