Time,braves
2022-01-01,4.0
2022-01-02,4.0
2022-01-03,4.0
2022-01-04,4.0
2022-01-05,4.0
2022-01-06,3.0
2022-01-07,4.0
2022-01-08,4.0
2022-01-09,4.0
2022-01-10,3.0
2022-01-11,6.0
2022-01-12,4.0
2022-01-13,4.0
2022-01-14,3.0
2022-01-15,4.0
2022-01-16,4.0
2022-01-17,4.0
2022-01-18,3.0
2022-01-19,3.0
2022-01-20,3.0
2022-01-21,3.0
2022-01-22,4.0
2022-01-23,4.0
2022-01-24,4.0
2022-01-25,3.0
2022-01-26,3.0
2022-01-27,3.0
2022-01-28,3.0
2022-01-29,4.0
2022-01-30,4.0
2022-01-31,3.0
2022-02-01,3.0
2022-02-02,4.0
2022-02-03,3.0
2022-02-04,4.0
2022-02-05,4.0
2022-02-06,4.0
2022-02-07,3.0
2022-02-08,4.0
2022-02-09,4.0
2022-02-10,3.0
2022-02-11,4.0
2022-02-12,4.0
2022-02-13,3.0
2022-02-14,3.0
2022-02-15,4.0
2022-02-16,3.0
2022-02-17,3.0
2022-02-18,3.0
2022-02-19,4.0
2022-02-20,4.0
2022-02-21,3.0
2022-02-22,3.0
2022-02-23,4.0
2022-02-24,3.0
2022-02-25,3.0
2022-02-26,4.0
2022-02-27,4.0
2022-02-28,3.0
2022-03-01,4.0
2022-03-02,4.0
2022-03-03,3.0
2022-03-04,3.0
2022-03-05,3.0
2022-03-06,3.0
2022-03-07,3.0
2022-03-08,3.0
2022-03-09,3.0
2022-03-10,6.0
2022-03-11,14.0
2022-03-12,15.0
2022-03-13,14.0
2022-03-14,19.0
2022-03-15,17.0
2022-03-16,16.0
2022-03-17,16.0
2022-03-18,14.0
2022-03-19,17.0
2022-03-20,16.0
2022-03-21,11.0
2022-03-22,10.0
2022-03-23,12.0
2022-03-24,9.0
2022-03-25,9.0
2022-03-26,10.0
2022-03-27,11.0
2022-03-28,8.0
2022-03-29,8.0
2022-03-30,10.0
2022-03-31,9.0
2022-04-01,10.0
2022-04-02,11.0
2022-04-03,11.0
2022-04-04,10.0
