Time,uefa_champions_league
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,2.0
2022-01-04,2.0
2022-01-05,2.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-08,2.0
2022-01-09,2.0
2022-01-10,1.0
2022-01-11,2.0
2022-01-12,2.0
2022-01-13,2.0
2022-01-14,1.0
2022-01-15,2.0
2022-01-16,2.0
2022-01-17,2.0
2022-01-18,2.0
2022-01-19,2.0
2022-01-20,2.0
2022-01-21,1.0
2022-01-22,1.0
2022-01-23,2.0
2022-01-24,2.0
2022-01-25,3.0
2022-01-26,2.0
2022-01-27,1.0
2022-01-28,1.0
2022-01-29,2.0
2022-01-30,2.0
2022-01-31,2.0
2022-02-01,2.0
2022-02-02,1.0
2022-02-03,1.0
2022-02-04,1.0
2022-02-05,2.0
2022-02-06,1.0
2022-02-07,2.0
2022-02-08,2.0
2022-02-09,2.0
2022-02-10,2.0
2022-02-11,2.0
2022-02-12,2.0
2022-02-13,2.0
2022-02-14,6.0
2022-02-15,41.0
2022-02-16,35.0
2022-02-17,13.0
2022-02-18,4.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,4.0
2022-02-22,25.0
2022-02-23,30.0
2022-02-24,11.0
2022-02-25,5.0
2022-02-26,3.0
2022-02-27,2.0
2022-02-28,3.0
2022-03-01,6.0
2022-03-02,4.0
2022-03-03,3.0
2022-03-04,2.0
2022-03-05,2.0
2022-03-06,2.0
2022-03-07,5.0
2022-03-08,31.0
2022-03-09,42.0
2022-03-10,18.0
2022-03-11,6.0
2022-03-12,4.0
2022-03-13,4.0
2022-03-14,4.0
2022-03-15,34.0
2022-03-16,36.0
2022-03-17,13.0
2022-03-18,15.0
2022-03-19,6.0
2022-03-20,4.0
2022-03-21,3.0
2022-03-22,4.0
2022-03-23,3.0
2022-03-24,3.0
2022-03-25,2.0
2022-03-26,2.0
2022-03-27,2.0
2022-03-28,2.0
2022-03-29,2.0
2022-03-30,3.0
2022-03-31,3.0
2022-04-01,2.0
2022-04-02,3.0
2022-04-03,3.0
2022-04-04,5.0
2022-04-05,33.0
2022-04-06,38.0
2022-04-07,12.0
2022-04-08,3.0
2022-04-09,3.0
2022-04-10,3.0
2022-04-11,5.0
2022-04-12,50.0
2022-04-13,47.0
2022-04-14,16.0
2022-04-15,5.0
2022-04-16,5.0
2022-04-17,4.0
2022-04-18,4.0
2022-04-19,5.0
2022-04-20,4.0
2022-04-21,2.0
2022-04-22,3.0
2022-04-23,3.0
2022-04-24,3.0
2022-04-25,6.0
2022-04-26,35.0
2022-04-27,30.0
2022-04-28,8.0
2022-04-29,3.0
2022-04-30,4.0
2022-05-01,4.0
2022-05-02,4.0
2022-05-03,33.0
2022-05-04,52.0
2022-05-05,15.0
2022-05-06,5.0
2022-05-07,5.0
2022-05-08,4.0
2022-05-09,3.0
2022-05-10,3.0
2022-05-11,3.0
2022-05-12,3.0
2022-05-13,3.0
2022-05-14,4.0
2022-05-15,3.0
2022-05-16,3.0
2022-05-17,3.0
2022-05-18,4.0
2022-05-19,3.0
2022-05-20,3.0
2022-05-21,6.0
2022-05-22,5.0
2022-05-23,3.0
2022-05-24,4.0
2022-05-25,5.0
2022-05-26,6.0
2022-05-27,9.0
2022-05-28,100.0
2022-05-29,14.0
2022-05-30,4.0
2022-05-31,3.0
2022-06-01,2.0
2022-06-02,2.0
2022-06-03,2.0
2022-06-04,3.0
2022-06-05,2.0
2022-06-06,1.0
2022-06-07,2.0
2022-06-08,2.0
2022-06-09,1.0
2022-06-10,1.0
2022-06-11,2.0
2022-06-12,2.0
2022-06-13,1.0
2022-06-14,1.0
2022-06-15,1.0
2022-06-16,1.0
2022-06-17,1.0
2022-06-18,1.0
2022-06-19,1.0
2022-06-20,1.0
2022-06-21,1.0
2022-06-22,1.0
2022-06-23,1.0
2022-06-24,0.0
2022-06-25,1.0
2022-06-26,1.0
2022-06-27,1.0
2022-06-28,1.0
2022-06-29,1.0
2022-06-30,1.0
2022-07-01,1.0
2022-07-02,1.0
2022-07-03,1.0
2022-07-04,0.0
2022-07-05,1.0
2022-07-06,1.0
2022-07-07,1.0
2022-07-08,1.0
2022-07-09,1.0
