Time,easter_2023
2022-01-01,4.0
2022-01-02,4.0
2022-01-03,5.0
2022-01-04,5.0
2022-01-05,6.0
2022-01-06,3.0
2022-01-07,4.0
2022-01-08,4.0
2022-01-09,5.0
2022-01-10,5.0
2022-01-11,4.0
2022-01-12,3.0
2022-01-13,4.0
2022-01-14,3.0
2022-01-15,2.0
2022-01-16,3.0
2022-01-17,4.0
2022-01-18,4.0
2022-01-19,4.0
2022-01-20,4.0
2022-01-21,3.0
2022-01-22,3.0
2022-01-23,4.0
2022-01-24,5.0
2022-01-25,4.0
2022-01-26,3.0
2022-01-27,4.0
2022-01-28,5.0
2022-01-29,4.0
2022-01-30,4.0
2022-01-31,5.0
2022-02-01,5.0
2022-02-02,4.0
2022-02-03,4.0
2022-02-04,5.0
2022-02-05,4.0
2022-02-06,5.0
2022-02-07,6.0
2022-02-08,5.0
2022-02-09,5.0
2022-02-10,5.0
2022-02-11,5.0
2022-02-12,4.0
2022-02-13,4.0
2022-02-14,5.0
2022-02-15,7.0
2022-02-16,6.0
2022-02-17,6.0
2022-02-18,6.0
2022-02-19,5.0
2022-02-20,6.0
2022-02-21,7.0
2022-02-22,7.0
2022-02-23,7.0
2022-02-24,6.0
2022-02-25,7.0
2022-02-26,7.0
2022-02-27,7.0
2022-02-28,8.0
2022-03-01,9.0
2022-03-02,9.0
2022-03-03,8.0
2022-03-04,7.0
2022-03-05,7.0
2022-03-06,8.0
2022-03-07,7.0
2022-03-08,7.0
2022-03-09,8.0
2022-03-10,8.0
2022-03-11,7.0
2022-03-12,7.0
2022-03-13,8.0
2022-03-14,8.0
2022-03-15,10.0
2022-03-16,9.0
2022-03-17,8.0
2022-03-18,10.0
2022-03-19,7.0
2022-03-20,11.0
2022-03-21,11.0
2022-03-22,10.0
2022-03-23,10.0
2022-03-24,10.0
2022-03-25,8.0
2022-03-26,9.0
2022-03-27,14.0
2022-03-28,12.0
2022-03-29,12.0
2022-03-30,11.0
2022-03-31,11.0
2022-04-01,13.0
2022-04-02,14.0
2022-04-03,16.0
2022-04-04,16.0
