Time,krill
2022-01-01,40.0
2022-01-02,47.0
2022-01-03,50.0
2022-01-04,70.0
2022-01-05,75.0
2022-01-06,41.0
2022-01-07,60.0
2022-01-08,54.0
2022-01-09,65.0
2022-01-10,44.0
2022-01-11,58.0
2022-01-12,61.0
2022-01-13,89.0
2022-01-14,52.0
2022-01-15,63.0
2022-01-16,55.0
2022-01-17,35.0
2022-01-18,48.0
2022-01-19,55.0
2022-01-20,62.0
2022-01-21,57.0
2022-01-22,52.0
2022-01-23,58.0
2022-01-24,67.0
2022-01-25,57.0
2022-01-26,52.0
2022-01-27,57.0
2022-01-28,58.0
2022-01-29,51.0
2022-01-30,61.0
2022-01-31,48.0
2022-02-01,63.0
2022-02-02,69.0
2022-02-03,55.0
2022-02-04,60.0
2022-02-05,60.0
2022-02-06,59.0
2022-02-07,71.0
2022-02-08,57.0
2022-02-09,56.0
2022-02-10,61.0
2022-02-11,59.0
2022-02-12,57.0
2022-02-13,54.0
2022-02-14,47.0
2022-02-15,49.0
2022-02-16,68.0
2022-02-17,60.0
2022-02-18,66.0
2022-02-19,59.0
2022-02-20,60.0
2022-02-21,52.0
2022-02-22,59.0
2022-02-23,57.0
2022-02-24,55.0
2022-02-25,73.0
2022-02-26,69.0
2022-02-27,60.0
2022-02-28,58.0
2022-03-01,61.0
2022-03-02,58.0
2022-03-03,57.0
2022-03-04,54.0
2022-03-05,61.0
2022-03-06,66.0
2022-03-07,62.0
2022-03-08,68.0
2022-03-09,64.0
2022-03-10,52.0
2022-03-11,55.0
2022-03-12,60.0
2022-03-13,61.0
2022-03-14,55.0
2022-03-15,47.0
2022-03-16,61.0
2022-03-17,60.0
2022-03-18,47.0
2022-03-19,59.0
2022-03-20,55.0
2022-03-21,56.0
2022-03-22,59.0
2022-03-23,57.0
2022-03-24,56.0
2022-03-25,60.0
2022-03-26,58.0
2022-03-27,100.0
2022-03-28,72.0
2022-03-29,91.0
2022-03-30,79.0
2022-03-31,72.0
2022-04-01,68.0
2022-04-02,54.0
2022-04-03,57.0
2022-04-04,66.0
2022-04-05,57.0
2022-04-06,64.0
2022-04-07,66.0
2022-04-08,56.0
2022-04-09,59.0
2022-04-10,64.0
2022-04-11,54.0
2022-04-12,66.0
2022-04-13,54.0
2022-04-14,65.0
2022-04-15,56.0
2022-04-16,57.0
2022-04-17,52.0
2022-04-18,65.0
2022-04-19,71.0
2022-04-20,60.0
2022-04-21,56.0
2022-04-22,60.0
2022-04-23,48.0
2022-04-24,46.0
2022-04-25,60.0
2022-04-26,60.0
2022-04-27,72.0
2022-04-28,69.0
2022-04-29,72.0
2022-04-30,52.0
2022-05-01,48.0
2022-05-02,76.0
2022-05-03,67.0
2022-05-04,67.0
2022-05-05,73.0
2022-05-06,64.0
2022-05-07,59.0
2022-05-08,67.0
2022-05-09,67.0
2022-05-10,63.0
2022-05-11,73.0
2022-05-12,59.0
2022-05-13,58.0
2022-05-14,50.0
2022-05-15,43.0
2022-05-16,53.0
2022-05-17,61.0
2022-05-18,57.0
2022-05-19,54.0
2022-05-20,50.0
2022-05-21,47.0
2022-05-22,58.0
2022-05-23,61.0
2022-05-24,65.0
2022-05-25,53.0
2022-05-26,56.0
2022-05-27,53.0
2022-05-28,57.0
2022-05-29,61.0
2022-05-30,52.0
2022-05-31,57.0
2022-06-01,68.0
2022-06-02,63.0
2022-06-03,55.0
2022-06-04,57.0
2022-06-05,49.0
2022-06-06,61.0
2022-06-07,51.0
2022-06-08,53.0
2022-06-09,59.0
2022-06-10,59.0
2022-06-11,56.0
2022-06-12,63.0
2022-06-13,44.0
2022-06-14,46.0
2022-06-15,51.0
2022-06-16,50.0
2022-06-17,46.0
2022-06-18,54.0
2022-06-19,52.0
2022-06-20,48.0
2022-06-21,48.0
2022-06-22,45.0
2022-06-23,55.0
2022-06-24,52.0
2022-06-25,62.0
2022-06-26,50.0
2022-06-27,53.0
2022-06-28,54.0
2022-06-29,42.0
2022-06-30,52.0
2022-07-01,48.0
2022-07-02,46.0
2022-07-03,53.0
2022-07-04,55.0
2022-07-05,50.0
2022-07-06,55.0
2022-07-07,49.0
2022-07-08,55.0
2022-07-09,47.0
2022-07-10,41.0
2022-07-11,52.0
2022-07-12,55.0
2022-07-13,49.0
2022-07-14,51.0
2022-07-15,53.0
2022-07-16,55.0
2022-07-17,61.0
2022-07-18,55.0
2022-07-19,52.0
2022-07-20,54.0
2022-07-21,47.0
2022-07-22,63.0
2022-07-23,58.0
2022-07-24,61.0
2022-07-25,46.0
2022-07-26,59.0
2022-07-27,47.0
2022-07-28,64.0
2022-07-29,73.0
2022-07-30,65.0
2022-07-31,67.0
2022-08-01,63.0
2022-08-02,57.0
2022-08-03,56.0
2022-08-04,54.0
2022-08-05,56.0
2022-08-06,68.0
2022-08-07,54.0
2022-08-08,57.0
2022-08-09,50.0
2022-08-10,58.0
2022-08-11,63.0
2022-08-12,56.0
2022-08-13,56.0
2022-08-14,52.0
2022-08-15,49.0
2022-08-16,64.0
2022-08-17,61.0
2022-08-18,55.0
2022-08-19,48.0
2022-08-20,62.0
2022-08-21,64.0
2022-08-22,53.0
2022-08-23,57.0
2022-08-24,57.0
2022-08-25,53.0
2022-08-26,44.0
2022-08-27,55.0
2022-08-28,61.0
2022-08-29,53.284953395472705
2022-08-30,54.2237017310253
2022-08-31,60.039946737683096
2022-09-01,48.90745672436751
2022-09-02,52.284953395472705
2022-09-03,46.96870838881492
2022-09-04,56.162450066577904
2022-09-05,63.91744340878829
2022-09-06,46.96870838881492
2022-09-07,61.478695073235684
2022-09-08,48.40745672436751
2022-09-09,54.2237017310253
2022-09-10,54.7237017310253
2022-09-11,48.40745672436751
2022-09-12,54.2237017310253
2022-09-13,54.2237017310253
2022-09-14,48.90745672436751
2022-09-15,45.029960053262315
2022-09-16,48.90745672436751
2022-09-17,48.90745672436751
2022-09-18,49.40745672436751
2022-09-19,50.34620505992011
2022-09-20,49.40745672436751
2022-09-21,60.039946737683096
2022-09-22,52.784953395472705
2022-09-23,52.784953395472705
2022-09-24,45.029960053262315
2022-09-25,48.90745672436751
2022-09-26,52.784953395472705
2022-09-27,50.34620505992011
2022-09-28,60.079893475366184
2022-09-29,52.56990679094541
2022-09-30,54.4474034620506
2022-10-01,56.3249001331558
2022-10-02,52.56990679094541
2022-10-03,50.69241011984022
2022-10-04,50.69241011984022
2022-10-05,63.83488681757657
2022-10-06,56.3249001331558
2022-10-07,56.3249001331558
2022-10-08,60.079893475366184
2022-10-09,54.4474034620506
2022-10-10,56.3249001331558
2022-10-11,58.20239680426099
2022-10-12,60.079893475366184
2022-10-13,56.3249001331558
2022-10-14,60.079893475366184
2022-10-15,46.93741677762983
2022-10-16,56.3249001331558
2022-10-17,52.56990679094541
2022-10-18,54.4474034620506
2022-10-19,54.4474034620506
2022-10-20,50.69241011984022
2022-10-21,60.079893475366184
2022-10-22,41.30492676431425
2022-10-23,45.059920106524636
2022-10-24,56.3249001331558
2022-10-25,50.69241011984022
2022-10-26,54.4474034620506
2022-10-27,46.93741677762983
2022-10-28,46.93741677762983
2022-10-29,45.059920106524636
2022-10-30,52.56990679094541
2022-10-31,46.93741677762983
2022-11-01,54.4474034620506
2022-11-02,50.69241011984022
2022-11-03,50.69241011984022
2022-11-04,46.93741677762983
2022-11-05,46.93741677762983
2022-11-06,46.93741677762983
2022-11-07,187.7496671105193
2022-11-08,61.957390146471376
2022-11-09,43.182423435419445
2022-11-10,56.3249001331558
2022-11-11,45.059920106524636
2022-11-12,48.81491344873503
2022-11-13,56.3249001331558
2022-11-14,50.69241011984022
2022-11-15,54.4474034620506
2022-11-16,52.56990679094541
2022-11-17,52.56990679094541
2022-11-18,43.182423435419445
2022-11-19,45.059920106524636
2022-11-20,41.30492676431425
2022-11-21,48.81491344873503
2022-11-22,50.69241011984022
2022-11-23,52.56990679094541
2022-11-24,46.93741677762983
2022-11-25,46.93741677762983
2022-11-26,48.81491344873503
2022-11-27,45.059920106524636
2022-11-28,54.4474034620506
2022-11-29,60.079893475366184
2022-11-30,50.69241011984022
2022-12-01,58.20239680426099
2022-12-02,71.34487350199734
2022-12-03,54.4474034620506
2022-12-04,50.69241011984022
2022-12-05,61.957390146471376
2022-12-06,52.56990679094541
2022-12-07,56.3249001331558
2022-12-08,60.079893475366184
2022-12-09,56.3249001331558
2022-12-10,39.42743009320906
2022-12-11,54.4474034620506
2022-12-12,54.4474034620506
2022-12-13,58.20239680426099
2022-12-14,41.30492676431425
2022-12-15,48.81491344873503
2022-12-16,50.69241011984022
2022-12-17,56.3249001331558
2022-12-18,48.81491344873503
2022-12-19,48.81491344873503
2022-12-20,61.957390146471376
2022-12-21,43.182423435419445
2022-12-22,45.059920106524636
2022-12-23,43.182423435419445
2022-12-24,48.81491344873503
2022-12-25,35.67243675099867
2022-12-26,46.93741677762983
2022-12-27,50.69241011984022
2022-12-28,46.93741677762983
2022-12-29,45.059920106524636
2022-12-30,61.957390146471376
2022-12-31,45.059920106524636
2023-01-01,45.059920106524636
2023-01-02,56.3249001331558
2023-01-03,50.69241011984022
2023-01-04,58.20239680426099
2023-01-05,60.079893475366184
2023-01-06,61.957390146471376
2023-01-07,52.56990679094541
2023-01-08,71.34487350199734
2023-01-09,60.079893475366184
2023-01-10,63.83488681757657
2023-01-11,71.34487350199734
2023-01-12,65.71238348868177
2023-01-13,63.83488681757657
2023-01-14,56.3249001331558
2023-01-15,46.93741677762983
2023-01-16,60.079893475366184
2023-01-17,73.22237017310253
2023-01-18,60.079893475366184
2023-01-19,58.20239680426099
2023-01-20,54.4474034620506
2023-01-21,58.20239680426099
2023-01-22,67.58988015978696
2023-01-23,60.079893475366184
2023-01-24,63.83488681757657
2023-01-25,82.6098535286285
2023-01-26,65.71238348868177
2023-01-27,65.71238348868177
2023-01-28,61.957390146471376
2023-01-29,61.957390146471376
2023-01-30,63.83488681757657
2023-01-31,71.34487350199734
2023-02-01,78.85486018641812
2023-02-02,67.58988015978696
2023-02-03,65.71238348868177
2023-02-04,65.71238348868177
2023-02-05,71.34487350199734
2023-02-06,61.957390146471376
2023-02-07,80.73235685752331
2023-02-08,65.71238348868177
2023-02-09,76.97736351531292
2023-02-10,71.34487350199734
2023-02-11,65.71238348868177
2023-02-12,73.22237017310253
2023-02-13,58.20239680426099
2023-02-14,58.20239680426099
2023-02-15,60.079893475366184
2023-02-16,67.58988015978696
2023-02-17,69.46737683089215
2023-02-18,60.079893475366184
2023-02-19,61.957390146471376
2023-02-20,65.71238348868177
2023-02-21,67.58988015978696
2023-02-22,71.34487350199734
2023-02-23,67.58988015978696
2023-02-24,67.58988015978696
2023-02-25,60.079893475366184
2023-02-26,60.079893475366184
2023-02-27,73.22237017310253
2023-02-28,65.71238348868177
2023-03-01,71.34487350199734
2023-03-02,69.46737683089215
2023-03-03,71.34487350199734
2023-03-04,63.83488681757657
2023-03-05,52.56990679094541
2023-03-06,60.079893475366184
2023-03-07,73.22237017310253
2023-03-08,75.09986684420772
2023-03-09,69.46737683089215
2023-03-10,65.71238348868177
2023-03-11,73.22237017310253
2023-03-12,90.11984021304927
2023-03-13,63.83488681757657
2023-03-14,63.83488681757657
2023-03-15,71.34487350199734
2023-03-16,69.46737683089215
2023-03-17,65.71238348868177
2023-03-18,56.3249001331558
2023-03-19,60.079893475366184
2023-03-20,73.22237017310253
2023-03-21,78.85486018641812
2023-03-22,75.09986684420772
2023-03-23,73.22237017310253
2023-03-24,67.58988015978696
2023-03-25,60.079893475366184
2023-03-26,65.71238348868177
2023-03-27,67.58988015978696
2023-03-28,67.58988015978696
2023-03-29,75.09986684420772
2023-03-30,71.34487350199734
2023-03-31,63.83488681757657
2023-04-01,60.079893475366184
2023-04-02,65.71238348868177
2023-04-03,76.97736351531292
2023-04-04,71.34487350199734
2023-04-05,84.4873501997337
2023-04-06,71.34487350199734
2023-04-07,52.56990679094541
2023-04-08,52.56990679094541
2023-04-09,56.3249001331558
2023-04-10,63.83488681757657
2023-04-11,69.46737683089215
2023-04-12,76.97736351531292
2023-04-13,76.97736351531292
2023-04-14,65.71238348868177
2023-04-15,69.46737683089215
2023-04-16,69.46737683089215
2023-04-17,73.22237017310253
2023-04-18,75.09986684420772
2023-04-19,75.09986684420772
2023-04-20,67.58988015978696
2023-04-21,71.34487350199734
2023-04-22,61.957390146471376
2023-04-23,63.83488681757657
2023-04-24,80.73235685752331
2023-04-25,76.97736351531292
2023-04-26,77.02097675243206
2023-04-27,71.71877722998231
2023-04-28,65.58792620226856
2023-04-29,59.87140092718679
2023-04-30,61.63880076800338
2023-05-01,78.78837659324867
2023-05-02,67.35532604308514
2023-05-03,67.76965179571714
2023-05-04,70.89012572471832
2023-05-05,69.53705163653373
2023-05-06,54.56920140473703
2023-05-07,59.87140092718679
2023-05-08,69.95137738916571
2023-05-09,73.07185131816689
2023-05-10,77.43530250506407
2023-05-11,73.4861770707989
2023-05-12,69.53705163653373
2023-05-13,69.12272588390172
2023-05-14,54.983527157369025
2023-05-15,73.07185131816689
2023-05-16,71.71877722998231
2023-05-17,74.83925115898349
2023-05-18,69.53705163653373
2023-05-19,67.35532604308514
2023-05-20,62.46745227326737
2023-05-21,51.034401723103855
2023-05-22,74.83925115898349
2023-05-23,69.53705163653373
2023-05-24,71.30445147735031
2023-05-25,59.87140092718679
2023-05-26,63.80616590532736
2023-05-27,68.77807493691131
2023-05-28,72.09268095796727
2023-05-29,55.51965085268744
2023-05-30,69.6067264421753
2023-05-31,62.97751440006337
2023-06-01,57.176953863215424
2023-06-02,53.03369633689547
2023-06-03,58.834256873743406
2023-06-04,63.80616590532736
2023-06-05,70.43537794743929
2023-06-06,65.46346891585534
2023-06-07,60.49155988427139
2023-06-08,64.63481741059135
2023-06-09,60.49155988427139
2023-06-10,59.6629083790074
2023-06-11,53.86234784215946
2023-06-12,62.14886289479938
2023-06-13,65.46346891585534
2023-06-14,58.005605368479415
2023-06-15,64.63481741059135
2023-06-16,58.005605368479415
2023-06-17,62.14886289479938
2023-06-18,55.51965085268744
2023-06-19,70.43537794743929
2023-06-20,57.176953863215424
2023-06-21,65.46346891585534
