Time,donald trump
2022-01-01,16
2022-01-02,16
2022-01-03,17
2022-01-04,22
2022-01-05,19
2022-01-06,23
2022-01-07,22
2022-01-08,18
2022-01-09,15
2022-01-10,15
2022-01-11,16
2022-01-12,19
2022-01-13,20
2022-01-14,16
2022-01-15,19
2022-01-16,21
2022-01-17,16
2022-01-18,15
2022-01-19,17
2022-01-20,18
2022-01-21,17
2022-01-22,17
2022-01-23,16
2022-01-24,20
2022-01-25,15
2022-01-26,14
2022-01-27,13
2022-01-28,16
2022-01-29,17
2022-01-30,21
2022-01-31,17
2022-02-01,18
2022-02-02,16
2022-02-03,15
2022-02-04,15
2022-02-05,17
2022-02-06,16
2022-02-07,15
2022-02-08,15
2022-02-09,16
2022-02-10,14
2022-02-11,16
2022-02-12,16
2022-02-13,15
2022-02-14,16
2022-02-15,18
2022-02-16,17
2022-02-17,19
2022-02-18,18
2022-02-19,17
2022-02-20,17
2022-02-21,19
2022-02-22,20
2022-02-23,22
2022-02-24,35
2022-02-25,31
2022-02-26,28
2022-02-27,32
2022-02-28,24
2022-03-01,22
2022-03-02,24
2022-03-03,22
2022-03-04,19
2022-03-05,20
2022-03-06,21
2022-03-07,18
2022-03-08,17
2022-03-09,19
2022-03-10,25
2022-03-11,23
2022-03-12,22
2022-03-13,21
2022-03-14,17
2022-03-15,16
2022-03-16,16
2022-03-17,16
2022-03-18,15
2022-03-19,16
2022-03-20,14
2022-03-21,13
2022-03-22,14
2022-03-23,14
2022-03-24,17
2022-03-25,17
2022-03-26,16
2022-03-27,21
2022-03-28,18
2022-03-29,20
2022-03-30,19
2022-03-31,17
2022-04-01,17
2022-04-02,16
2022-04-03,17
2022-04-04,16
2022-04-05,17
2022-04-06,16
2022-04-07,15
2022-04-08,16
2022-04-09,19
2022-04-10,18
2022-04-11,15
2022-04-12,14
2022-04-13,14
2022-04-14,17
2022-04-15,16
2022-04-16,15
2022-04-17,16
2022-04-18,15
2022-04-19,15
2022-04-20,15
2022-04-21,17
2022-04-22,16
2022-04-23,15
2022-04-24,16
2022-04-25,25
2022-04-26,28
2022-04-27,20
2022-04-28,19
2022-04-29,21
2022-04-30,16
2022-05-01,16
2022-05-02,16
2022-05-03,15
2022-05-04,16
2022-05-05,15
2022-05-06,15
2022-05-07,19
2022-05-08,17
2022-05-09,16
2022-05-10,16
2022-05-11,18
2022-05-12,15
2022-05-13,15
2022-05-14,15
2022-05-15,15
2022-05-16,13
2022-05-17,15
2022-05-18,15
2022-05-19,15
2022-05-20,13
2022-05-21,13
2022-05-22,14
2022-05-23,14
2022-05-24,15
2022-05-25,16
2022-05-26,13
2022-05-27,14
2022-05-28,15
2022-05-29,16
2022-05-30,14
2022-05-31,13
2022-06-01,13
2022-06-02,12
2022-06-03,12
2022-06-04,12
2022-06-05,13
2022-06-06,12
2022-06-07,13
2022-06-08,13
2022-06-09,14
2022-06-10,31
2022-06-11,20
2022-06-12,19
2022-06-13,23
2022-06-14,31
2022-06-15,24
2022-06-16,21
2022-06-17,20
2022-06-18,20
2022-06-19,19
2022-06-20,18
2022-06-21,21
2022-06-22,19
2022-06-23,18
2022-06-24,22
2022-06-25,20
2022-06-26,20
2022-06-27,16
2022-06-28,28
2022-06-29,29
2022-06-30,20
2022-07-01,18
2022-07-02,17
2022-07-03,17
2022-07-04,18
2022-07-05,17
2022-07-06,16
2022-07-07,16
2022-07-08,18
2022-07-09,18
2022-07-10,20
2022-07-11,18
2022-07-12,23
2022-07-13,26
2022-07-14,86
2022-07-15,92
2022-07-16,48
2022-07-17,32
2022-07-18,23
2022-07-19,22
2022-07-20,29
2022-07-21,39
2022-07-22,41
2022-07-23,28
2022-07-24,24
2022-07-25,19
2022-07-26,20
2022-07-27,21
2022-07-28,21
2022-07-29,22
2022-07-30,20
2022-07-31,22
2022-08-01,20
2022-08-02,20
2022-08-03,16
2022-08-04,17
2022-08-05,16
2022-08-06,19
2022-08-07,18
2022-08-08,24
2022-08-09,100
2022-08-10,54
2022-08-11,40
2022-08-12,59
2022-08-13,38
2022-08-14,34
2022-08-15,32
2022-08-16,30
2022-08-17,29
2022-08-18,26
2022-08-19,22
2022-08-20,21
2022-08-21,19
2022-08-22,18
2022-08-23,22
2022-08-24,20
2022-08-25,20
2022-08-26,25
2022-08-27,27
2022-08-28,22
2022-08-29,20
2022-08-30,22
2022-08-31,27
2022-09-01,22
2022-09-02,23
2022-09-03,21
2022-09-04,23
2022-09-05,21
2022-09-06,18
2022-09-07,20
2022-09-08,21
2022-09-09,21
2022-09-10,19
2022-09-11,20
2022-09-12,28
2022-09-13,20
2022-09-14,19
2022-09-15,18
2022-09-16,17
2022-09-17,16
2022-09-18,18
2022-09-19,20
2022-09-20,19
2022-09-21,30
2022-09-22,29
2022-09-23,23
2022-09-24,18
2022-09-25,16
2022-09-26,17
2022-09-27,16
