Time,american_airlines
2022-01-01,56.0
2022-01-02,79.0
2022-01-03,83.0
2022-01-04,96.0
2022-01-05,83.0
2022-01-06,64.0
2022-01-07,72.0
2022-01-08,63.0
2022-01-09,67.0
2022-01-10,74.0
2022-01-11,71.0
2022-01-12,71.0
2022-01-13,78.0
2022-01-14,57.0
2022-01-15,61.0
2022-01-16,54.0
2022-01-17,64.0
2022-01-18,64.0
2022-01-19,64.0
2022-01-20,69.0
2022-01-21,62.0
2022-01-22,57.0
2022-01-23,64.0
2022-01-24,78.0
2022-01-25,61.0
2022-01-26,62.0
2022-01-27,63.0
2022-01-28,76.0
2022-01-29,67.0
2022-01-30,63.0
2022-01-31,74.0
2022-02-01,73.0
2022-02-02,82.0
2022-02-03,84.0
2022-02-04,93.0
2022-02-05,80.0
2022-02-06,82.0
2022-02-07,81.0
2022-02-08,82.0
2022-02-09,77.0
2022-02-10,60.0
2022-02-11,72.0
2022-02-12,66.0
2022-02-13,67.0
2022-02-14,74.0
2022-02-15,87.0
2022-02-16,82.0
2022-02-17,82.0
2022-02-18,84.0
2022-02-19,78.0
2022-02-20,76.0
2022-02-21,82.0
2022-02-22,89.0
2022-02-23,97.0
2022-02-24,91.0
2022-02-25,85.0
2022-02-26,74.0
2022-02-27,76.0
2022-02-28,82.0
2022-03-01,86.0
2022-03-02,88.0
2022-03-03,87.0
2022-03-04,85.0
2022-03-05,77.0
2022-03-06,78.0
2022-03-07,90.0
2022-03-08,91.0
2022-03-09,97.0
2022-03-10,88.0
2022-03-11,90.0
2022-03-12,90.0
2022-03-13,90.0
2022-03-14,88.0
2022-03-15,88.0
2022-03-16,81.0
2022-03-17,76.0
2022-03-18,80.0
2022-03-19,72.0
2022-03-20,77.0
2022-03-21,86.0
2022-03-22,87.0
2022-03-23,79.0
2022-03-24,81.0
2022-03-25,69.0
2022-03-26,66.0
2022-03-27,74.0
2022-03-28,74.0
2022-03-29,75.0
2022-03-30,78.0
2022-03-31,76.0
2022-04-01,78.0
2022-04-02,81.0
2022-04-03,91.0
2022-04-04,87.0
2022-04-05,84.0
2022-04-06,78.0
2022-04-07,80.0
2022-04-08,77.0
2022-04-09,74.0
2022-04-10,74.0
2022-04-11,75.0
2022-04-12,76.0
2022-04-13,79.0
2022-04-14,79.0
2022-04-15,76.0
2022-04-16,69.0
2022-04-17,69.0
2022-04-18,87.0
2022-04-19,100.0
2022-04-20,81.0
2022-04-21,77.0
2022-04-22,70.0
2022-04-23,65.0
2022-04-24,72.0
2022-04-25,74.0
2022-04-26,81.0
2022-04-27,77.0
2022-04-28,71.0
2022-04-29,70.0
2022-04-30,67.0
2022-05-01,76.0
2022-05-02,78.0
2022-05-03,77.0
2022-05-04,77.0
2022-05-05,72.0
2022-05-06,73.0
2022-05-07,69.0
2022-05-08,69.0
2022-05-09,79.0
2022-05-10,80.0
2022-05-11,78.0
2022-05-12,78.0
2022-05-13,74.0
2022-05-14,73.0
2022-05-15,73.0
2022-05-16,81.0
2022-05-17,83.0
2022-05-18,78.0
2022-05-19,77.0
2022-05-20,79.0
2022-05-21,77.0
2022-05-22,79.0
2022-05-23,85.0
2022-05-24,87.0
2022-05-25,77.0
2022-05-26,76.0
2022-05-27,76.0
2022-05-28,67.0
2022-05-29,68.0
2022-05-30,76.0
2022-05-31,82.0
2022-06-01,85.0
2022-06-02,95.0
2022-06-03,83.0
2022-06-04,79.0
2022-06-05,76.0
2022-06-06,79.0
2022-06-07,85.0
2022-06-08,87.0
2022-06-09,88.0
2022-06-10,83.0
2022-06-11,72.0
2022-06-12,79.0
2022-06-13,85.0
2022-06-14,86.0
2022-06-15,85.0
2022-06-16,85.0
2022-06-17,96.0
2022-06-18,82.0
2022-06-19,76.0
2022-06-20,93.0
2022-06-21,95.0
2022-06-22,90.0
2022-06-23,96.0
2022-06-24,87.0
2022-06-25,75.0
2022-06-26,79.0
2022-06-27,95.0
2022-06-28,95.0
2022-06-29,91.0
2022-06-30,89.0
2022-07-01,84.0
2022-07-02,78.0
2022-07-03,70.0
2022-07-04,72.0
2022-07-05,88.0
2022-07-06,86.0
2022-07-07,84.0
2022-07-08,79.0
2022-07-09,76.0
2022-07-10,77.0
2022-07-11,84.0
2022-07-12,83.0
2022-07-13,82.0
2022-07-14,80.0
2022-07-15,75.0
2022-07-16,73.0
2022-07-17,81.0
2022-07-18,84.0
2022-07-19,83.0
2022-07-20,83.0
2022-07-21,79.0
2022-07-22,75.0
2022-07-23,71.0
2022-07-24,76.0
2022-07-25,84.0
2022-07-26,86.0
2022-07-27,79.0
2022-07-28,80.0
2022-07-29,78.0
2022-07-30,71.0
2022-07-31,77.0
2022-08-01,82.0
2022-08-02,77.0
2022-08-03,77.0
2022-08-04,77.0
2022-08-05,89.0
2022-08-06,73.0
2022-08-07,83.0
2022-08-08,83.0
2022-08-09,81.0
2022-08-10,83.0
2022-08-11,89.0
2022-08-12,75.0
2022-08-13,65.0
2022-08-14,69.0
2022-08-15,76.0
2022-08-16,82.0
2022-08-17,80.0
2022-08-18,75.0
2022-08-19,72.0
2022-08-20,64.0
2022-08-21,79.0
2022-08-22,81.0
2022-08-23,80.0
2022-08-24,71.0
2022-08-25,72.0
2022-08-26,67.0
2022-08-27,59.0
2022-08-28,61.0
2022-08-29,72.0
2022-08-30,72.0
2022-08-31,73.66666666666666
2022-09-01,70.33333333333333
2022-09-02,72.0
2022-09-03,54.83333333333333
2022-09-04,54.83333333333333
2022-09-05,72.0
2022-09-06,76.0
2022-09-07,76.0
2022-09-08,64.5
2022-09-09,65.16666666666666
2022-09-10,57.166666666666664
2022-09-11,61.666666666666664
2022-09-12,77.16666666666666
2022-09-13,78.33333333333333
2022-09-14,80.0
2022-09-15,73.16666666666666
2022-09-16,70.33333333333333
2022-09-17,62.33333333333333
2022-09-18,65.16666666666666
2022-09-19,76.0
2022-09-20,74.33333333333333
2022-09-21,73.66666666666666
2022-09-22,72.0
2022-09-23,70.83333333333333
2022-09-24,61.166666666666664
2022-09-25,68.5
2022-09-26,77.16666666666666
2022-09-27,80.5
2022-09-28,73.33333333333333
2022-09-29,76.0
2022-09-30,72.0
2022-10-01,64.0
2022-10-02,61.33333333333333
2022-10-03,70.66666666666666
2022-10-04,73.33333333333333
2022-10-05,72.0
2022-10-06,72.0
2022-10-07,66.66666666666666
2022-10-08,58.666666666666664
2022-10-09,66.66666666666666
2022-10-10,73.33333333333333
2022-10-11,74.66666666666666
2022-10-12,72.0
2022-10-13,73.33333333333333
2022-10-14,70.66666666666666
2022-10-15,58.666666666666664
2022-10-16,72.0
2022-10-17,76.0
2022-10-18,78.66666666666666
2022-10-19,74.66666666666666
2022-10-20,74.66666666666666
2022-10-21,65.33333333333333
2022-10-22,57.33333333333333
2022-10-23,60.0
2022-10-24,70.66666666666666
2022-10-25,73.33333333333333
2022-10-26,72.0
2022-10-27,68.0
2022-10-28,68.0
2022-10-29,52.0
2022-10-30,52.0
2022-10-31,62.666666666666664
2022-11-01,64.0
2022-11-02,69.33333333333333
2022-11-03,66.66666666666666
2022-11-04,66.66666666666666
